,id,label,node_type,weight,fan_in,fan_out,sscc,con_cf,con_df,con_zc,con_rf,con_val,McCabe,LOC,n1,n2,N1,N2,H,V,AFO,AFP,VRI,DRI,VMulD,VPlusD,dc,cc,bc,pg,er,gc,gcd,iFit,ggc,ggcd,cr
0,63,assoc_init (63),Method,15,1,12,3,1,0,2,0,10,3,14.0,7,7,14,16,39.302968908806456,114.22064766172812,0.020961120864244745,0.04734545167014933,0.016084102149258733,0.04734545167014933,1.0641910629003735,0.06342955381940807,0.00596252129471891,0.0008517887563884157,4.356975736002126e-06,0.0005847907094904001,2.056935988152049e-05,490.0,714.0,6.305294520533487e-11,478.27354509781026,705.8684408715912,0.002405832380895836
1,41,hashpower (41),Local,1,23,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.0013100700540152966,0.1661770923388844,0.0,0.11668481591376102,1.116684815913761,0.11668481591376102,0.0068143100511073255,0.010656421037369966,0.0,0.0020663019568141253,0.000948959270684484,0.0,1053.5555555555554,9.640134979834916e-11,0.0,979.4631074502278,0.009149305144940565
2,47,primary_hashtable (47),Local,1,8,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.0013100700540152966,0.06033334464071011,0.0,0.027887348865902276,1.0278873488659024,0.027887348865902276,0.0034071550255536627,0.003794331733002943,0.0,0.0008822835626226534,0.0002747472181712181,0.0,315.6666666666667,1.8245117017535018e-11,0.0,254.92205813566852,0.002503952079817116
3,44984,STATS_LOCK (44984),Method,1,30,0,1,0,0,0,0,0,1,3.0,0,0,0,0,0.0,0.0,0.0013100700540152966,0.22917792614906907,0.0,0.5259958240019196,1.5259958240019196,0.5259958240019196,0.02129471890971039,0.024994473126389846,0.0,0.0012561177909692686,0.0003257753690901006,0.0,12912.5,1.6367196808738265e-10,0.0,12553.805488726435,0.006661999615622988
4,44346,hash_power_level (44346),Member,1,5,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.0013100700540152966,0.04034491662357136,0.0,0.028636900853896217,1.0286369008538963,0.028636900853896217,0.0034071550255536627,0.004173764906303236,0.0,0.0006707040150317102,0.0001259815512092886,0.0,597.0,4.183144755291666e-11,0.0,587.9509340713713,0.0029259819233782756
5,44343,hash_bytes (44343),Member,1,4,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.0013100700540152966,0.03796932565012082,0.0,0.027987142192796632,1.0279871421927966,0.027987142192796632,0.0034071550255536627,0.00383304940374787,0.0,0.0006659753283019434,0.00010122095671474151,0.0,601.0,2.6450782171733134e-11,0.0,497.21959182434523,0.0018406436275620692
6,44989,STATS_UNLOCK (44989),Method,1,31,0,1,0,0,0,0,0,1,3.0,0,0,0,0,0.0,0.0,0.0013100700540152966,0.23332764632549063,0.0,0.5355200199847148,1.5355200199847148,0.5355200199847148,0.02129471890971039,0.024994473126389846,0.0,0.00132065737269145,0.0003564408564468007,0.0,12912.5,1.7072859504332329e-10,0.0,12553.805488726435,0.006949228067858452
7,118,assoc_find (118),Method,9,1,4,5,3,0,0,0,4,5,25.0,15,13,28,26,106.70907526996197,259.5971657911106,0.013100700540152966,0.04030916604885508,0.005374331256925081,0.004843055806229163,1.0102434152493525,0.010217387063154244,0.004258943781942078,0.0029372026082359164,2.3237203925344674e-05,0.0006735747164128385,5.685047757703056e-05,115.0,122.5,3.97300442001593e-13,106.45944412759175,112.49529529662206,0.001120681037405176
8,55,expanding (55),Local,1,7,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.0013100700540152966,0.08745138841571813,0.0,0.021297031872229217,1.0212970318722292,0.021297031872229217,0.004258943781942078,0.00830013705473223,0.0,0.0012973457838979477,0.0003870592486792651,0.0,347.22222222222223,2.7021579454035127e-12,0.0,296.5321598787634,0.0033514564539552784
9,59,expand_bucket (59),Local,1,9,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.0013100700540152966,0.09168217338640618,0.0,0.022327354706407305,1.0223273547064073,0.022327354706407305,0.004258943781942078,0.00830013705473223,0.0,0.0013179702137339508,0.00043642571239491427,0.0,347.22222222222223,3.188039250765864e-12,0.0,296.5321598787634,0.003954089634403839
10,51,old_hashtable (51),Local,1,8,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.0013100700540152966,0.06492170255266842,0.0,0.015810378697373027,1.0158103786973731,0.015810378697373027,0.004258943781942078,0.00830013705473223,0.0,0.000977245253152534,0.00022373027301572318,0.0,347.22222222222223,1.5650633248767106e-12,0.0,296.5321598787634,0.001941130639653815
11,227,_hashitem_before (227),Method,7,1,4,3,3,0,0,0,4,3,17.0,16,10,32,20,97.21928094887363,244.42286534333678,0.010480560432122372,0.06704010970060904,0.004299465005540064,0.004092139514737606,1.0084091985309191,0.008391604520277669,0.004258943781942078,0.00533156666035712,4.066510686935318e-05,0.0012372039768371434,9.835381391731472e-05,115.0,82.36111111111111,2.631384407976525e-13,106.45944412759175,79.36058108573573,0.001307232907116098
