,source,target,weight,label
1392,62349,66611,1.0,1.0
1393,62397,66611,1.0,1.0
1394,62413,66611,1.0,1.0
1395,62425,66611,1.0,1.0
1396,62439,66611,1.0,1.0
1397,62505,62500,3.0,3.0
1398,65920,66154,3.0,3.0
1399,65926,66154,3.0,3.0
1400,65939,66154,3.0,3.0
1401,65952,66154,3.0,3.0
1402,65965,66154,3.0,3.0
1403,65978,66154,3.0,3.0
1404,65989,66154,3.0,3.0
1405,66002,66154,3.0,3.0
1406,66013,66154,3.0,3.0
1407,66024,66154,3.0,3.0
1408,66035,66154,3.0,3.0
1409,66048,66154,3.0,3.0
1410,66061,66154,3.0,3.0
1411,66074,66154,3.0,3.0
1412,66085,66154,3.0,3.0
1413,66098,66154,3.0,3.0
1414,66111,66154,3.0,3.0
1415,66122,66154,3.0,3.0
1416,66135,66154,3.0,3.0
1417,66144,66154,3.0,3.0
1418,66381,66477,3.0,3.0
1419,66387,66478,3.0,3.0
1420,66393,66478,3.0,3.0
1421,66401,66477,3.0,3.0
1422,66414,66477,3.0,3.0
1423,66414,66478,3.0,3.0
1424,66424,66477,3.0,3.0
1425,66424,66478,3.0,3.0
1426,66439,66477,3.0,3.0
1427,66439,66478,3.0,3.0
1428,66455,66478,9.0,9.0
1429,66455,66477,6.0,6.0
1430,66595,66724,3.0,3.0
1431,66639,66729,3.0,3.0
1432,66672,66724,3.0,3.0
1433,66680,66727,3.0,3.0
1434,66688,66728,3.0,3.0
1435,66696,66731,3.0,3.0
1436,66704,66729,3.0,3.0
1437,66712,66730,3.0,3.0
1438,66754,66724,6.0,6.0
1439,66754,66726,3.0,3.0
1440,66868,66867,3.0,3.0
1441,67141,93147,4.0,4.0
1442,68109,68222,3.0,3.0
1443,68339,69021,6.0,6.0
1444,68339,69020,3.0,3.0
1445,68356,69021,10.0,10.0
1446,68402,69023,7.0,7.0
1447,68402,69020,3.0,3.0
1448,68533,68524,3.0,3.0
1449,68546,68531,6.0,6.0
1450,68546,68525,3.0,3.0
1451,68562,68527,3.0,3.0
1452,68562,68525,3.0,3.0
1453,68562,68526,3.0,3.0
1454,68581,68530,3.0,3.0
1455,68581,68529,3.0,3.0
1456,68581,68531,3.0,3.0
1457,68581,68525,3.0,3.0
1458,68605,68527,3.0,3.0
1459,68617,68528,3.0,3.0
1460,68617,68526,3.0,3.0
1461,68625,68532,3.0,3.0
1462,68631,68530,3.0,3.0
1463,68639,68531,3.0,3.0
1464,68654,68528,6.0,6.0
1465,68654,68529,23.0,23.0
1466,68654,68526,3.0,3.0
1467,68654,68527,3.0,3.0
1468,68693,68527,3.0,3.0
1469,68693,68525,6.0,6.0
1470,68693,68526,3.0,3.0
1471,68693,68530,7.0,7.0
1472,68804,68527,3.0,3.0
1473,68804,68526,7.0,7.0
1474,68819,68528,3.0,3.0
1475,68819,68526,3.0,3.0
1476,68819,68529,3.0,3.0
1477,68819,68527,3.0,3.0
1478,68819,68532,3.0,3.0
1479,68819,66628,5.5,5.5
1480,68819,68530,3.0,3.0
1481,68819,68531,3.0,3.0
1482,68844,68528,9.0,9.0
1483,68844,68525,6.0,6.0
1484,68844,68526,6.0,6.0
1485,68844,68529,3.0,3.0
1486,68844,68527,3.0,3.0
1487,68844,68530,7.0,7.0
1488,68943,69021,7.0,7.0
1489,68943,66628,2.5,2.5
1490,69005,69021,3.0,3.0
1491,69053,66323,3.0,3.0
1492,69053,69360,3.0,3.0
1493,69069,69359,3.0,3.0
1494,69069,69360,6.0,6.0
1495,69069,69361,3.0,3.0
1496,69069,69362,3.0,3.0
1497,69069,69363,3.0,3.0
1498,69096,69359,3.0,3.0
1499,69096,69360,3.0,3.0
1500,69116,69360,13.0,13.0
1501,69116,69359,9.0,9.0
1502,69116,69362,3.0,3.0
1503,69154,69363,12.0,12.0
1504,69154,69362,3.0,3.0
1505,69154,69361,13.0,13.0
1506,69154,69358,13.0,13.0
1507,69154,69359,18.0,18.0
1508,69349,69359,3.0,3.0
1509,69401,69814,10.0,10.0
1510,69428,69811,3.0,3.0
1511,69428,69810,6.0,6.0
1512,69457,69811,7.0,7.0
1513,69457,69812,15.0,15.0
1514,69457,69814,10.0,10.0
1515,69509,69811,18.0,18.0
1516,69509,69814,6.0,6.0
1517,69509,69812,9.0,9.0
1518,69509,69810,9.0,9.0
1519,69509,69813,12.0,12.0
1520,69509,69809,3.0,3.0
1521,69622,69842,3.0,3.0
1522,69622,69839,6.0,6.0
1523,69622,69840,3.0,3.0
1524,69622,69841,3.0,3.0
1525,69688,69842,3.0,3.0
1526,69688,69841,7.0,7.0
