,id,label,node_type,weight,fan_in,fan_out,sscc,con_cf,con_df,con_zc,con_rf,con_val,McCabe,LOC,n1,n2,N1,N2,H,V,AFO,AFP,VRI,DRI,VMulD,VPlusD
973,3554,SetIsolateMiscHandlers (3554),Method,15,0,9,6,3,0,0,0,9,6,38.0,7,15,38,35,78.25484338853101,325.5385081605227,0.2807017543859649,0.07252972561371447,0.04779327182545817,0.0,1.0477932718254581,0.04779327182545817
974,130832,policy (130832),Member,1,1,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.019248273335947304,0.0,0.005403024094300998,1.005403024094301,0.005403024094300998
975,130837,allow_wasm_code_generation_callback (130837),Member,1,2,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.02399060154915171,0.0,0.006734203943621533,1.0067342039436216,0.006734203943621533
976,130838,modify_code_generation_from_strings_callback (130838),Member,1,2,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.030313705833424246,0.0,0.008509110409382244,1.0085091104093822,0.008509110409382244
977,130836,promise_reject_callback (130836),Member,1,2,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.02399060154915171,0.0,0.006734203943621533,1.0067342039436216,0.006734203943621533
978,97772,HeaderValue (97772),Method,8,0,1,7,1,0,0,0,1,4,14.0,2,6,9,11,17.509775004326936,60.0,0.15789473684210525,0.014505945122742895,0.012387313664026496,0.0,1.0123873136640265,0.012387313664026496
979,73201,DequeuePendingPull (73201),Method,3,0,2,1,0,0,0,0,2,1,5.0,3,3,5,4,9.509775004326936,23.264662506490403,0.07017543859649122,0.014505945122742895,0.008943663047666089,0.0,1.008943663047666,0.008943663047666089
980,220670,CreateProperties (220670),Method,2,0,1,1,0,1,0,0,1,1,43.0,5,15,83,79,70.2129994085646,700.1523513717527,0.10526315789473684,0.014505945122742895,0.002824841944955195,0.0,1.0028248419449552,0.002824841944955195
981,220039,CreateProcessObject (220039),Method,4,1,0,4,0,0,0,0,0,4,95.0,10,23,78,81,137.26120593818493,802.0586649779941,0.07017543859649122,0.026835998477074356,0.0,0.002824841944955195,1.0028248419449552,0.002824841944955195
982,122371,ownership (122371),Method,2,0,1,1,0,0,0,0,1,1,1.0,0,1,0,1,0.0,0.0,0.05263157894736842,0.014505945122742895,0.002643135895522942,0.0,1.002643135895523,0.002643135895522942
983,200207,CreateHeaders (200207),Method,6,0,4,2,1,0,0,0,4,2,11.0,8,9,20,18,52.529325012980806,155.32358796751288,0.12280701754385964,0.04351783536822868,0.037416839617893514,0.0,1.0374168396178935,0.037416839617893514
984,200273,Flush (200273),Method,6,0,3,3,0,0,0,0,3,3,24.0,7,12,24,22,62.6710344630571,195.40466561840492,0.12280701754385964,0.04351783536822868,0.039379238467849756,0.0,1.0393792384678497,0.039379238467849756
985,138834,GetLinkedBinding (138834),Method,8,0,3,5,1,0,0,0,3,5,49.0,10,17,55,63,102.70614925012939,561.0767252552893,0.15789473684210525,0.02901189024548579,0.026836176028422247,0.0,1.0268361760284221,0.026836176028422247
986,89691,ChannelImpl (89691),Method,13,0,11,2,0,0,0,0,11,2,23.0,7,14,29,26,72.95445336320968,241.57745825283183,0.24561403508771928,0.07252972561371447,0.07808609640634406,0.0,1.0780860964063441,0.07808609640634406
987,90066,session_ (90066),Member,1,3,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.0737825117834059,0.0,0.028477460688332103,1.028477460688332,0.028477460688332103
988,90067,node_dispatcher_ (90067),Member,1,5,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.06376022242587444,0.0,0.021253407475291478,1.0212534074752915,0.021253407475291478
989,90063,tracing_agent_ (90063),Member,1,4,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.04909866807363304,0.0,0.02067312339942444,1.0206731233994244,0.02067312339942444
990,90064,worker_agent_ (90064),Member,1,5,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.05945591289127146,0.0,0.025034068585798507,1.0250340685857986,0.025034068585798507
991,90062,runtime_agent_ (90062),Member,1,5,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.07182464876593024,0.0,0.03654236516161363,1.0365423651616137,0.03654236516161363
992,20090,GetMethod (20090),Method,2,0,1,1,0,0,1,0,1,1,16.0,1,1,1,2,0.0,3.0,0.05263157894736842,0.014505945122742895,0.0014124209724775975,0.0,1.0014124209724775,0.0014124209724775975
993,19534,<lambda>0 (19534),Method,1,1,0,1,0,0,0,0,0,1,11.0,1,9,1,17,28.52932501298081,59.79470570797252,0.017543859649122806,0.026835998477074356,0.0,0.0014124209724775975,1.0014124209724775,0.0014124209724775975
994,134786,napi_async_destroy (134786),Method,3,0,2,1,0,2,0,0,0,1,12.0,6,4,6,12,23.509775004326936,59.79470570797252,0.07017543859649122,0.02901189024548579,0.11654430738471966,0.0,1.1165443073847197,0.11654430738471966
995,102037,New (102037),Method,5,0,4,1,0,0,0,0,4,1,13.0,6,10,18,21,48.72905595320056,156.0,0.10526315789473684,0.05802378049097158,0.01500678196487549,0.0,1.0150067819648756,0.01500678196487549
996,102101,cb (102101),Member,1,1,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.002824841944955195,1.0028248419449552,0.002824841944955195
997,102100,cb_data (102100),Member,1,1,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.002824841944955195,1.0028248419449552,0.002824841944955195
998,102099,env (102099),Member,1,1,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.002824841944955195,1.0028248419449552,0.002824841944955195
999,200354,Init (200354),Method,18,0,14,4,0,0,0,0,14,4,24.0,4,17,17,22,77.48686830125577,171.30037948837168,0.3333333333333333,0.15956539635017183,0.44510646705437285,0.0,1.445106467054373,0.44510646705437285
1000,200541,settings (200541),Member,1,1,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.02419384418686047,0.0,0.008064614728953489,1.0080646147289536,0.008064614728953489
1001,200483,max_http_header_size_ (200483),Member,1,2,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.0516463453316514,0.0,0.023557982081104146,1.023557982081104,0.023557982081104146
1002,290479,<lambda>0 (290479),Method,2,0,1,1,0,0,0,0,1,1,4.0,4,3,4,4,12.754887502163468,22.458839376460833,0.05263157894736842,0.014505945122742895,0.005373534878615172,0.0,1.0053735348786152,0.005373534878615172
1003,291495,initialize_writer_async_ (291495),Member,1,5,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.10209716269368828,0.0,0.06090006195763861,1.0609000619576385,0.06090006195763861
1004,134833,napi_make_callback (134833),Method,22,0,12,10,0,12,0,0,1,8,53.0,11,22,65,85,136.1612434150308,756.659117903768,0.40350877192982454,0.04351783536822868,0.6995424798754891,0.0,1.6995424798754892,0.6995424798754891
1005,89784,~ChannelImpl (89784),Method,9,0,7,2,1,0,0,0,7,2,10.0,2,3,6,7,6.754887502163468,30.18506523353571,0.17543859649122806,0.04351783536822868,0.03164547890014645,0.0,1.0316454789001464,0.03164547890014645
1006,290499,<lambda>1 (290499),Method,2,0,1,1,0,0,0,0,1,1,4.0,4,3,4,4,12.754887502163468,22.458839376460833,0.05263157894736842,0.014505945122742895,0.007079803503566452,0.0,1.0070798035035664,0.007079803503566452
1007,291476,tracing_loop_ (291476),Member,1,7,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.1345162665677626,0.0,0.08259770754160861,1.0825977075416087,0.08259770754160861
1008,294603,SetInteger (294603),Method,2,0,1,1,0,0,0,0,1,1,4.0,2,4,2,4,10.0,15.509775004326936,0.05263157894736842,0.014505945122742895,0.02238241883412697,0.0,1.022382418834127,0.02238241883412697
1009,295002,data_ (295002),Member,1,18,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.4252659578484124,0.0,0.4178051515703701,1.41780515157037,0.4178051515703701
1010,89815,dispatchProtocolMessage (89815),Method,4,0,2,2,0,0,0,0,2,2,19.0,6,15,22,24,74.11313393845472,202.04660144782298,0.08771929824561403,0.02901189024548579,0.012065152123621081,0.0,1.012065152123621,0.012065152123621081
1011,294618,SetDouble (294618),Method,2,0,1,1,0,0,0,0,1,1,4.0,1,3,1,3,4.754887502163468,8.0,0.05263157894736842,0.014505945122742895,0.02238241883412697,0.0,1.022382418834127,0.02238241883412697
1012,81637,JSValue (81637),Method,2,0,1,1,0,0,0,0,1,1,1.0,1,2,1,2,2.0,4.754887502163468,0.05263157894736842,0.014505945122742895,0.0014124209724775975,0.0,1.0014124209724775,0.0014124209724775975
1013,81746,persistent_ (81746),Member,1,1,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.0014124209724775975,1.0014124209724775,0.0014124209724775975
1014,294630,SetBoolean (294630),Method,2,0,1,1,0,0,0,0,1,1,4.0,2,3,2,3,6.754887502163468,11.60964047443681,0.05263157894736842,0.014505945122742895,0.02238241883412697,0.0,1.022382418834127,0.02238241883412697
1015,290535,ScopedSuspendTracing (290535),Method,3,0,1,2,0,0,0,0,1,2,8.0,1,3,2,3,4.754887502163468,10.0,0.07017543859649122,0.014505945122742895,0.004232368873869114,0.0,1.004232368873869,0.004232368873869114
1016,290581,agent_ (290581),Member,1,3,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.060311256452634875,0.0,0.011639014403140063,1.01163901440314,0.011639014403140063
1017,200423,TrackHeader (200423),Method,6,0,4,2,2,0,0,0,4,2,8.0,3,5,3,6,16.36452797660028,27.0,0.12280701754385964,0.04351783536822868,0.057195311454086364,0.0,1.0571953114540864,0.057195311454086364
1018,294644,SetNull (294644),Method,2,0,1,1,0,0,0,0,1,1,4.0,1,2,1,2,2.0,4.754887502163468,0.05263157894736842,0.014505945122742895,0.02238241883412697,0.0,1.022382418834127,0.02238241883412697
1019,290553,~ScopedSuspendTracing (290553),Method,6,0,3,3,1,0,0,0,3,3,7.0,4,3,5,6,12.754887502163468,30.880904142633646,0.12280701754385964,0.02901189024548579,0.009886946807343183,0.0,1.0098869468073433,0.009886946807343183
1020,290580,controller_ (290580),Member,1,1,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.02019673897858818,0.0,0.0024803012780722326,1.0024803012780723,0.0024803012780722326
1021,200444,MaybePause (200444),Method,5,0,3,2,1,0,0,0,3,2,9.0,3,3,3,4,9.509775004326936,18.094737505048094,0.10526315789473684,0.02901189024548579,0.036096885412313824,0.0,1.0360968854123138,0.036096885412313824
1022,102140,This (102140),Method,2,0,1,1,0,0,0,0,1,1,1.0,0,1,0,1,0.0,0.0,0.05263157894736842,0.014505945122742895,0.0014124209724775975,0.0,1.0014124209724775,0.0014124209724775975
1023,102158,_this (102158),Member,1,1,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.0014124209724775975,1.0014124209724775,0.0014124209724775975
1024,294654,SetString (294654),Method,2,0,1,1,0,0,0,0,1,1,3.0,1,3,1,3,4.754887502163468,8.0,0.05263157894736842,0.014505945122742895,0.02238241883412697,0.0,1.022382418834127,0.02238241883412697
1025,274175,<lambda>0 (274175),Method,2,0,1,1,0,0,0,0,1,1,8.0,6,9,15,16,44.039100017307746,121.11360846386408,0.05263157894736842,0.014505945122742895,0.006334115882290819,0.0,1.0063341158822907,0.006334115882290819
1026,102146,ArgsLength (102146),Method,2,0,1,1,0,0,0,0,1,1,1.0,0,1,0,1,0.0,0.0,0.05263157894736842,0.014505945122742895,0.0014124209724775975,0.0,1.0014124209724775,0.0014124209724775975
1027,102159,_args_length (102159),Member,1,1,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.0014124209724775975,1.0014124209724775,0.0014124209724775975
1028,102152,Data (102152),Method,2,0,1,1,0,0,0,0,1,1,1.0,0,1,0,1,0.0,0.0,0.05263157894736842,0.014505945122742895,0.0014124209724775975,0.0,1.0014124209724775,0.0014124209724775975
1029,102160,_data (102160),Member,1,1,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.0014124209724775975,1.0014124209724775,0.0014124209724775975
1030,294666,BeginDictionary (294666),Method,3,0,2,1,0,0,0,0,2,1,5.0,2,3,2,3,6.754887502163468,11.60964047443681,0.07017543859649122,0.02901189024548579,0.039259364928686605,0.0,1.0392593649286865,0.039259364928686605
1031,295003,first_item_ (295003),Member,1,6,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.13417999238537176,0.0,0.04943473403671591,1.0494347340367158,0.04943473403671591
1032,102186,InvokeCallback (102186),Method,4,0,2,2,0,0,0,0,2,2,23.0,6,6,14,11,31.019550008653873,89.62406251802891,0.08771929824561403,0.014505945122742895,0.004708069908258659,0.0,1.0047080699082587,0.004708069908258659
1033,200489,Raw (200489),Method,3,0,1,2,0,0,0,0,1,2,8.0,7,8,11,13,43.65148445440323,93.76537429460444,0.07017543859649122,0.014505945122742895,0.01989631524560368,0.0,1.0198963152456038,0.01989631524560368
1034,294692,AppendInteger (294692),Method,2,0,1,1,0,0,0,0,1,1,4.0,2,3,2,3,6.754887502163468,11.60964047443681,0.05263157894736842,0.014505945122742895,0.02238241883412697,0.0,1.022382418834127,0.02238241883412697
1035,294705,AppendDouble (294705),Method,2,0,1,1,0,0,0,0,1,1,4.0,1,2,1,2,2.0,4.754887502163468,0.05263157894736842,0.014505945122742895,0.02238241883412697,0.0,1.022382418834127,0.02238241883412697
1036,139061,RegisterBuiltinBindings (139061),Method,56,0,55,1,0,0,55,0,0,1,5.0,0,0,0,0,0.0,0.0,1.0,0.7978269817508592,1.4759799162390894,0.0,2.4759799162390896,1.4759799162390894
1037,137746,_register_async_wrap (137746),Method,1,1,0,1,0,0,0,0,0,1,1.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.026835998477074356,1.0268359984770743,0.026835998477074356
