1155,FIELD_IDENTIFIER,2,,Chars,Chars,27,507,2
1159,FIELD_IDENTIFIER,2,,DbcsAttr,DbcsAttr,41,507,2
1163,FIELD_IDENTIFIER,2,,TextAttr,TextAttr,58,507,2
1167,FIELD_IDENTIFIER,2,,TextAttrBehavior,TextAttrBehavior,75,507,2
1178,FIELD_IDENTIFIER,2,,narrow_cast,narrow_cast,17,516,2
1181,FIELD_IDENTIFIER,2,,CoordType,CoordType,34,516,2
1186,FIELD_IDENTIFIER,2,,_pos,_pos,52,516,2
1197,FIELD_IDENTIFIER,2,,narrow_cast,narrow_cast,17,525,2
1200,FIELD_IDENTIFIER,2,,CoordType,CoordType,34,525,2
1205,FIELD_IDENTIFIER,2,,_distance,_distance,57,525,2
1400,FIELD_IDENTIFIER,2,,resize,resize,5,28,2
1405,FIELD_IDENTIFIER,2,,narrow,narrow,26,28,2
1420,FIELD_IDENTIFIER,2,,span,span,17,39,2
1450,FIELD_IDENTIFIER,2,,at,at,13,64,2
1455,FIELD_IDENTIFIER,2,,narrow_cast,narrow_cast,30,64,2
1470,FIELD_IDENTIFIER,2,,at,at,13,76,2
1475,FIELD_IDENTIFIER,2,,narrow_cast,narrow_cast,30,76,2
1575,FIELD_IDENTIFIER,2,,Leading,Leading,41,43,2
1609,FIELD_IDENTIFIER,2,,_view,_view,21,81,2
1614,FIELD_IDENTIFIER,2,,_dbcsAttr,_dbcsAttr,25,82,2
1619,FIELD_IDENTIFIER,2,,_textAttr,_textAttr,25,83,2
1624,FIELD_IDENTIFIER,2,,_behavior,_behavior,25,84,2
1720,FIELD_IDENTIFIER,2,,Single,Single,46,59,2
2060,FIELD_IDENTIFIER,2,,SingleWidth,SingleWidth,42,222,2
2082,FIELD_IDENTIFIER,2,,reset,reset,5,237,2
2092,FIELD_IDENTIFIER,2,,runs,runs,6,241,2
2093,FIELD_IDENTIFIER,2,,unsafe_shrink_to_size,unsafe_shrink_to_size,6,241,2
2103,FIELD_IDENTIFIER,2,,SingleWidth,SingleWidth,37,242,2
2118,FIELD_IDENTIFIER,2,,fill_n,fill_n,10,356,2
2125,FIELD_IDENTIFIER,2,,iota,iota,10,357,2
2129,FIELD_IDENTIFIER,2,,begin,begin,15,357,2
2133,FIELD_IDENTIFIER,2,,end,end,37,357,2
2149,FIELD_IDENTIFIER,2,,resize_trailing_extent,resize_trailing_extent,5,366,2
2154,FIELD_IDENTIFIER,2,,narrow,narrow,39,366,2
2166,FIELD_IDENTIFIER,2,,_lineRendition,_lineRendition,22,371,2
2171,FIELD_IDENTIFIER,2,,_wrapForced,_wrapForced,19,372,2
2186,FIELD_IDENTIFIER,2,,GetReadableColumnCount,GetReadableColumnCount,30,376,2
2192,FIELD_IDENTIFIER,2,,Attributes,Attributes,24,380,2
2258,FIELD_IDENTIFIER,2,,value_or,value_or,31,431,2
2267,FIELD_IDENTIFIER,2,,value_or,value_or,35,434,2
2277,FIELD_IDENTIFIER,2,,TextAttr,TextAttr,25,436,2
2289,FIELD_IDENTIFIER,2,,narrow_cast,narrow_cast,29,438,2
2308,FIELD_IDENTIFIER,2,,TextAttrBehavior,TextAttrBehavior,13,444,2
2311,FIELD_IDENTIFIER,2,,Current,Current,62,444,2
2319,FIELD_IDENTIFIER,2,,TextAttr,TextAttr,33,448,2
2328,FIELD_IDENTIFIER,2,,replace,replace,17,456,2
2337,FIELD_IDENTIFIER,2,,TextAttr,TextAttr,32,457,2
2349,FIELD_IDENTIFIER,2,,TextAttrBehavior,TextAttrBehavior,13,464,2
2352,FIELD_IDENTIFIER,2,,StoredOnly,StoredOnly,62,464,2
2372,FIELD_IDENTIFIER,2,,DbcsAttr,DbcsAttr,31,468,2
2379,FIELD_IDENTIFIER,2,,Chars,Chars,33,469,2
2386,FIELD_IDENTIFIER,2,,Leading,Leading,33,473,2
2406,FIELD_IDENTIFIER,2,,Trailing,Trailing,33,488,2
2419,FIELD_IDENTIFIER,2,,Position,Position,26,495,2
2444,FIELD_IDENTIFIER,2,,has_value,has_value,17,518,2
2462,FIELD_IDENTIFIER,2,,replace,replace,9,536,2
2477,FIELD_IDENTIFIER,2,,replace,replace,5,544,2
2483,FIELD_IDENTIFIER,2,,size,size,57,544,2
2495,FIELD_IDENTIFIER,2,,replace,replace,5,549,2
2514,FIELD_IDENTIFIER,2,,_clampedColumnInclusive,_clampedColumnInclusive,14,556,2
2521,FIELD_IDENTIFIER,2,,_clampedColumnInclusive,_clampedColumnInclusive,16,557,2
2528,FIELD_IDENTIFIER,2,,_uncheckedCharOffset,_uncheckedCharOffset,18,558,2
2535,FIELD_IDENTIFIER,2,,_adjustBackward,_adjustBackward,19,559,2
2569,FIELD_IDENTIFIER,2,,empty,empty,34,569,2
2591,FIELD_IDENTIFIER,2,,IsValid,IsValid,10,576,2
2597,FIELD_IDENTIFIER,2,,ReplaceCharacters,ReplaceCharacters,5,580,2
2602,FIELD_IDENTIFIER,2,,Finish,Finish,5,581,2
2615,FIELD_IDENTIFIER,2,,narrow_cast,narrow_cast,33,594,2
2634,FIELD_IDENTIFIER,2,,at,at,14,601,2
2637,FIELD_IDENTIFIER,2,,_charOffsets,_charOffsets,17,601,2
2653,FIELD_IDENTIFIER,2,,at,at,18,604,2
2656,FIELD_IDENTIFIER,2,,_charOffsets,_charOffsets,21,604,2
2662,FIELD_IDENTIFIER,2,,narrow_cast,narrow_cast,54,604,2
2675,FIELD_IDENTIFIER,2,,size,size,25,608,2
2689,FIELD_IDENTIFIER,2,,columnBegin,columnBegin,27,615,2
2692,FIELD_IDENTIFIER,2,,columnLimit,columnLimit,46,615,2
2695,FIELD_IDENTIFIER,2,,text,text,65,615,2
2701,FIELD_IDENTIFIER,2,,IsValid,IsValid,10,616,2
2706,FIELD_IDENTIFIER,2,,columnEnd,columnEnd,9,618,2
2709,FIELD_IDENTIFIER,2,,colBeg,colBeg,27,618,2
2713,FIELD_IDENTIFIER,2,,columnBeginDirty,columnBeginDirty,9,619,2
2716,FIELD_IDENTIFIER,2,,colBeg,colBeg,34,619,2
2720,FIELD_IDENTIFIER,2,,columnEndDirty,columnEndDirty,9,620,2
2723,FIELD_IDENTIFIER,2,,colBeg,colBeg,32,620,2
2728,FIELD_IDENTIFIER,2,,ReplaceText,ReplaceText,5,623,2
2732,FIELD_IDENTIFIER,2,,Finish,Finish,5,624,2
2736,FIELD_IDENTIFIER,2,,text,text,5,626,2
2741,FIELD_IDENTIFIER,2,,text,text,18,626,2
2742,FIELD_IDENTIFIER,2,,substr,substr,18,626,2
2745,FIELD_IDENTIFIER,2,,charsConsumed,charsConsumed,36,626,2
2749,FIELD_IDENTIFIER,2,,columnEnd,columnEnd,5,633,2
2755,FIELD_IDENTIFIER,2,,text,text,23,633,2
2756,FIELD_IDENTIFIER,2,,empty,empty,23,633,2
2759,FIELD_IDENTIFIER,2,,colEnd,colEnd,44,633,2
2762,FIELD_IDENTIFIER,2,,colLimit,colLimit,55,633,2
2766,FIELD_IDENTIFIER,2,,columnBeginDirty,columnBeginDirty,5,634,2
2769,FIELD_IDENTIFIER,2,,colBegDirty,colBegDirty,30,634,2
2773,FIELD_IDENTIFIER,2,,columnEndDirty,columnEndDirty,5,635,2
2776,FIELD_IDENTIFIER,2,,colEndDirty,colEndDirty,28,635,2
2787,FIELD_IDENTIFIER,2,,begin,begin,15,649,2
2797,FIELD_IDENTIFIER,2,,min,min,32,650,2
2804,FIELD_IDENTIFIER,2,,size,size,44,650,2
2831,FIELD_IDENTIFIER,2,,at,at,14,661,2
2834,FIELD_IDENTIFIER,2,,_charOffsets,_charOffsets,17,661,2
2840,FIELD_IDENTIFIER,2,,narrow_cast,narrow_cast,50,661,2
2869,FIELD_IDENTIFIER,2,,end,end,22,673,2
2905,FIELD_IDENTIFIER,2,,is_surrogate,is_surrogate,22,688,2
2917,FIELD_IDENTIFIER,2,,is_leading_surrogate,is_leading_surrogate,39,690,2
2922,FIELD_IDENTIFIER,2,,is_trailing_surrogate,is_trailing_surrogate,73,690,2
2952,FIELD_IDENTIFIER,2,,narrow_cast,narrow_cast,37,704,2
2975,FIELD_IDENTIFIER,2,,at,at,14,714,2
2978,FIELD_IDENTIFIER,2,,_charOffsets,_charOffsets,17,714,2
2985,FIELD_IDENTIFIER,2,,narrow_cast,narrow_cast,52,714,2
2997,FIELD_IDENTIFIER,2,,at,at,18,719,2
3000,FIELD_IDENTIFIER,2,,_charOffsets,_charOffsets,21,719,2
3007,FIELD_IDENTIFIER,2,,narrow_cast,narrow_cast,56,719,2
3033,FIELD_IDENTIFIER,2,,source,source,20,732,2
3040,FIELD_IDENTIFIER,2,,_clampedColumnInclusive,_clampedColumnInclusive,31,733,2
3043,FIELD_IDENTIFIER,2,,sourceColumnBegin,sourceColumnBegin,62,733,2
3050,FIELD_IDENTIFIER,2,,_clampedColumnInclusive,_clampedColumnInclusive,33,734,2
3053,FIELD_IDENTIFIER,2,,sourceColumnLimit,sourceColumnLimit,64,734,2
3067,FIELD_IDENTIFIER,2,,_charOffsets,_charOffsets,23,740,2
3068,FIELD_IDENTIFIER,2,,subspan,subspan,23,740,2
