,source,target,weight,label
427,202074,202337,3.0,3.0
428,202074,202338,3.0,3.0
429,259426,259455,7.0,7.0
430,132454,132747,1.0,1.0
431,259437,259455,10.0,10.0
432,136559,122420,2.5,2.5
433,136559,122066,2.5,2.5
434,132465,137660,4.0,4.0
435,132465,132775,2.5,2.5
436,132775,162300,2.5,2.5
437,275849,275977,3.0,3.0
438,222605,221966,5.5,5.5
439,161174,161173,3.0,3.0
440,202140,202344,3.0,3.0
441,202140,202339,3.0,3.0
442,202140,202343,3.0,3.0
443,136607,122420,2.5,2.5
444,136607,137660,4.0,4.0
445,136607,122066,2.5,2.5
446,132514,122201,1.0,1.0
447,122201,122357,7.0,7.0
448,122201,122326,1.0,1.0
449,132526,133718,3.0,3.0
450,275903,275977,6.0,6.0
451,132549,133725,3.0,3.0
452,132549,133722,3.0,3.0
453,1481,131660,46.0,46.0
454,1481,131648,7.0,7.0
455,136658,122420,2.5,2.5
456,136658,136607,5.5,5.5
457,136658,122066,2.5,2.5
458,132562,133718,3.0,3.0
459,132586,122459,5.5,5.5
460,202221,202336,12.0,12.0
461,202221,202408,3.0,3.0
462,202221,202349,3.0,3.0
463,202221,202339,3.0,3.0
464,202221,202340,3.0,3.0
465,202221,202341,3.0,3.0
466,202221,202342,3.0,3.0
467,202221,202343,3.0,3.0
468,202221,202344,3.0,3.0
469,202221,202347,3.0,3.0
470,202221,202350,3.0,3.0
471,71158,71362,3.0,3.0
472,71164,71361,3.0,3.0
473,132604,122201,1.0,1.0
474,71170,71363,3.0,3.0
475,132615,136310,3.0,3.0
476,71179,71361,7.0,7.0
477,71179,71362,13.0,13.0
478,71179,71363,14.0,14.0
479,71179,71360,3.0,3.0
480,136731,122420,5.0,5.0
481,136731,122066,2.5,2.5
482,140830,1469,3.0,3.0
483,202290,202349,10.0,10.0
484,202290,202350,7.0,7.0
485,202290,202336,3.0,3.0
486,132667,137660,1.0,1.0
487,132676,137682,3.0,3.0
488,132676,132747,1.0,1.0
489,202311,202348,10.0,10.0
490,202311,202336,3.0,3.0
491,132688,137660,1.0,1.0
492,71268,71363,16.0,16.0
493,136813,122420,17.5,17.5
494,132721,137683,10.0,10.0
495,132721,137682,7.0,7.0
496,132721,137660,1.0,1.0
497,202356,202336,3.0,3.0
498,71298,71363,10.0,10.0
499,71298,71362,10.0,10.0
500,87718,87805,3.0,3.0
501,162300,161172,3.0,3.0
502,71340,71360,3.0,3.0
503,202431,202351,20.0,20.0
504,87745,87806,3.0,3.0
505,87758,87806,7.0,7.0
506,87758,87805,3.0,3.0
507,71415,71601,17.0,17.0
508,71415,71599,10.0,10.0
509,71415,71602,13.0,13.0
510,1786,131660,55.0,55.0
511,132882,122195,1.0,1.0
512,122195,122357,3.0,3.0
513,202517,200213,10.0,10.0
514,87836,87848,3.0,3.0
515,132894,122201,1.0,1.0
516,87850,87881,3.0,3.0
517,87865,87880,3.0,3.0
518,87865,87881,3.0,3.0
519,87888,87898,3.0,3.0
520,202591,200213,10.0,10.0
521,87906,87944,3.0,3.0
522,87906,87945,3.0,3.0
523,71551,71601,3.0,3.0
524,71551,71599,6.0,6.0
525,71551,71600,13.0,13.0
526,92042,92433,3.0,3.0
527,87953,88030,13.0,13.0
528,87953,88031,3.0,3.0
529,133015,133724,3.0,3.0
530,133015,133725,9.0,9.0
531,133015,6130,2.5,2.5
532,92065,92433,3.0,3.0
533,296870,296941,7.0,7.0
534,296870,296938,10.0,10.0
535,296870,296942,16.0,16.0
536,296870,296939,3.0,3.0
537,296870,296940,3.0,3.0
538,87977,88030,10.0,10.0
539,87977,88031,6.0,6.0
540,87977,88033,3.0,3.0
541,87977,88032,3.0,3.0
542,202672,200214,10.0,10.0
543,133050,6153,2.5,2.5
544,133050,133725,6.0,6.0
545,1981,131660,3.0,3.0
546,96193,96248,3.0,3.0
547,1989,131660,3.0,3.0
548,133067,133715,3.0,3.0
549,133067,133717,7.0,7.0
550,133067,133723,14.0,14.0
551,133067,133720,14.0,14.0
552,133067,133716,3.0,3.0
553,133067,133719,7.0,7.0
554,96204,96248,3.0,3.0
555,1997,131660,3.0,3.0
556,296911,296938,3.0,3.0
557,296911,296942,12.0,12.0
558,296911,296939,3.0,3.0
559,296911,296940,3.0,3.0
560,296911,296941,3.0,3.0
561,2008,131660,3.0,3.0
562,2019,131660,6.0,6.0
563,88040,88434,3.0,3.0
564,88040,88433,3.0,3.0
565,88040,88435,3.0,3.0
566,71652,71892,17.0,17.0
567,71652,71891,3.0,3.0
568,71652,71893,13.0,13.0
569,2033,131660,6.0,6.0
570,202746,200214,12.0,12.0
571,202746,202347,7.0,7.0
572,202746,202351,14.0,14.0
573,88059,88436,6.0,6.0
574,88059,88435,6.0,6.0
575,88059,88433,6.0,6.0
576,2050,131209,10.0,10.0
577,2050,131208,13.0,13.0
578,133131,133715,3.0,3.0
579,133131,133720,7.0,7.0
580,133131,133719,3.0,3.0
581,133149,133715,3.0,3.0
582,133149,133719,17.0,17.0
583,133149,133720,17.0,17.0
584,133149,133723,7.0,7.0
585,133149,133716,3.0,3.0
586,96286,96310,3.0,3.0
587,6176,6113,6.0,6.0
588,6176,6109,3.0,3.0
589,88106,88434,10.0,10.0
590,88106,88432,7.0,7.0
591,88106,88435,3.0,3.0
592,88106,88433,3.0,3.0
593,6205,6109,3.0,3.0
594,6205,6112,3.0,3.0
595,6205,6110,3.0,3.0
596,6205,6111,3.0,3.0
597,96320,96349,3.0,3.0
598,137294,122420,2.5,2.5
599,137294,137672,4.0,4.0
600,137294,122066,2.5,2.5
601,137672,137681,3.0,3.0
602,133201,133717,10.0,10.0
603,133201,133722,3.0,3.0
604,92251,92296,7.0,7.0
605,92251,92131,3.0,3.0
606,92251,92133,3.0,3.0
607,92251,92132,3.0,3.0
608,92251,92297,3.0,3.0
609,92251,92298,3.0,3.0
610,161885,161172,3.0,3.0
611,161885,161173,3.0,3.0
612,219235,219210,3.0,3.0
613,219235,219211,3.0,3.0
614,219235,219212,3.0,3.0
615,219235,219213,3.0,3.0
616,219235,219215,3.0,3.0
617,219235,219217,3.0,3.0
618,219235,219219,3.0,3.0
619,219235,219221,3.0,3.0
620,219235,219223,3.0,3.0
621,219235,219225,3.0,3.0
622,219235,219227,3.0,3.0
623,219235,219229,3.0,3.0
624,219235,219231,3.0,3.0
625,219235,219233,3.0,3.0
626,2147,131208,3.0,3.0
627,133227,137660,5.0,5.0
628,133227,133725,6.0,6.0
629,133227,133718,10.0,10.0
630,133227,133723,14.0,14.0
631,133227,133716,10.0,10.0
632,2156,131208,3.0,3.0
633,92300,92433,3.0,3.0
634,6292,6122,16.0,16.0
635,293024,294040,3.0,3.0
636,92321,92436,3.0,3.0
637,92321,92435,6.0,6.0
638,92321,92433,3.0,3.0
639,92321,92437,3.0,3.0
640,71847,71892,3.0,3.0
641,71847,71891,13.0,13.0
642,88235,88434,3.0,3.0
643,88235,88436,3.0,3.0
644,133293,133718,3.0,3.0
645,293044,294021,3.0,3.0
646,133304,133718,3.0,3.0
647,297148,297547,3.0,3.0
648,133315,133722,3.0,3.0
649,133321,133714,3.0,3.0
650,133321,133721,10.0,10.0
651,133321,133712,10.0,10.0
652,133321,133711,7.0,7.0
653,92362,92436,3.0,3.0
654,92362,92435,7.0,7.0
655,92362,92437,3.0,3.0
656,297163,297547,3.0,3.0
657,297175,297547,3.0,3.0
658,293080,293126,3.0,3.0
659,92380,92434,3.0,3.0
660,92388,92432,3.0,3.0
661,297189,297547,3.0,3.0
662,293098,293126,10.0,10.0
663,293098,293125,3.0,3.0
664,92398,92436,3.0,3.0
665,92398,92435,3.0,3.0
