,source,target,weight,label
6607,311490,639577,2.5,2.5
6608,278724,324781,1.0,1.0
6609,180420,179860,3.0,3.0
6610,180420,181911,3.0,3.0
6611,278734,589498,2.5,2.5
6612,475345,475370,3.0,3.0
6613,278745,441579,13.0,13.0
6614,245979,248155,3.0,3.0
6615,245979,248285,3.0,3.0
6616,245979,247021,3.0,3.0
6617,245979,247147,3.0,3.0
6618,245979,247273,3.0,3.0
6619,245979,248029,3.0,3.0
6620,245979,251558,3.0,3.0
6621,245979,251683,3.0,3.0
6622,245979,251809,3.0,3.0
6623,245979,251947,3.0,3.0
6624,245979,252083,3.0,3.0
6625,245979,253364,3.0,3.0
6626,245979,253994,3.0,3.0
6627,245979,249419,3.0,3.0
6628,245979,249544,3.0,3.0
6629,245979,249669,3.0,3.0
6630,245979,250301,3.0,3.0
6631,245979,250175,3.0,3.0
6632,180458,179840,7.0,7.0
6633,180458,181853,3.0,3.0
6634,180458,181849,3.0,3.0
6635,311532,639577,8.0,8.0
6636,311532,311490,11.0,11.0
6637,475372,475470,10.0,10.0
6638,377078,350809,4.0,4.0
6639,377078,460822,4.0,4.0
6640,377078,377000,3.0,3.0
6641,377078,7697,1.0,1.0
6642,377078,10948,4.0,4.0
6643,377078,366832,4.0,4.0
6644,377078,325072,4.0,4.0
6645,147715,156001,3.0,3.0
6646,147715,156000,3.0,3.0
6647,147715,156024,3.0,3.0
6648,278795,324781,1.0,1.0
6649,16654,17045,3.0,3.0
6650,16654,17044,10.0,10.0
6651,16654,17043,3.0,3.0
6652,16654,16884,1.0,1.0
6653,16884,17040,3.0,3.0
6654,16884,3975,5.5,5.5
6655,16884,17041,6.0,6.0
6656,16884,17045,6.0,6.0
6657,16884,4001,5.5,5.5
6658,16884,17039,3.0,3.0
6659,16884,6230,3.0,3.0
6660,475406,475470,3.0,3.0
6661,278805,589498,2.5,2.5
6662,278816,324781,1.0,1.0
6663,147748,156000,3.0,3.0
6664,278826,441579,10.5,10.5
6665,278826,441354,2.5,2.5
6666,147757,156001,3.0,3.0
6667,508206,511144,10.0,10.0
