99,LOCAL,,static ngx_conf_enum_t[] ngx_debug_points,25,,34,ngx_debug_points,15,,static ngx_conf_enum_t[]
114,LOCAL,,static ngx_command_t[] ngx_core_commands,23,,41,ngx_core_commands,17,,static ngx_command_t[]
332,LOCAL,,ngx_core_module_t ngx_core_module_ctx,27,,159,ngx_core_module_ctx,19,,ngx_core_module_t
340,LOCAL,,ngx_module_t ngx_core_module,15,,166,ngx_core_module,21,,ngx_module_t
357,LOCAL,,ngx_uint_t ngx_show_help,21,,182,ngx_show_help,23,,ngx_uint_t
358,LOCAL,,ngx_uint_t ngx_show_version,21,,183,ngx_show_version,24,,ngx_uint_t
359,LOCAL,,ngx_uint_t ngx_show_configure,21,,184,ngx_show_configure,25,,ngx_uint_t
360,LOCAL,,u_char* ngx_prefix,20,,185,ngx_prefix,26,,u_char*
361,LOCAL,,u_char* ngx_error_log,20,,186,ngx_error_log,27,,u_char*
362,LOCAL,,u_char* ngx_conf_file,20,,187,ngx_conf_file,28,,u_char*
363,LOCAL,,u_char* ngx_conf_params,20,,188,ngx_conf_params,29,,u_char*
364,LOCAL,,static char* ngx_signal,20,,189,ngx_signal,30,,char*
365,LOCAL,,static char** ngx_os_environ,13,,192,ngx_os_environ,31,,char**
366,LOCAL,,int ngx_cdecl,5,,195,ngx_cdecl,32,,int
372,LOCAL,,ngx_buf_t* b,22,,198,b,1,,ngx_buf_t*
373,LOCAL,,ngx_log_t* log,22,,199,log,2,,ngx_log_t*
374,LOCAL,,ngx_uint_t i,23,,200,i,3,,ngx_uint_t
375,LOCAL,,ngx_cycle_t* cycle,22,,201,cycle,4,,ngx_cycle_t*
376,LOCAL,,ngx_cycle_t init_cycle,30,,201,init_cycle,5,,ngx_cycle_t
377,LOCAL,,ngx_conf_dump_t* cd,22,,202,cd,6,,ngx_conf_dump_t*
378,LOCAL,,ngx_core_conf_t* ccf,22,,203,ccf,7,,ngx_core_conf_t*
769,LOCAL,,u_char* p,22,,461,p,1,,u_char*
