220,RETURN,-1,,return res;,5,57,4
259,RETURN,-1,,return res;,5,66,4
298,RETURN,-1,,return res;,5,75,4
310,RETURN,-1,,return *this;,5,82,2
351,RETURN,-1,,return (*pi)[idx];,9,93,1
387,RETURN,-1,,return (int64)doubleValue;,9,103,7
400,RETURN,-1,,return std::atoi((*ps)[idx].c_str());,9,107,1
420,RETURN,-1,,return 0;,9,112,2
427,RETURN,-1,,return (int)get<int64>(idx);,5,119,1
440,RETURN,-1,,return (int)get<int64>(idx);,5,124,1
453,RETURN,-1,,return (unsigned)get<int64>(idx);,5,130,1
466,RETURN,-1,,return (get<int64>(idx) != 0);,5,136,1
512,RETURN,-1,,return (*pd)[idx];,9,147,1
526,RETURN,-1,,return (double)(*pi)[idx];,9,151,1
542,RETURN,-1,,return std::atof((*ps)[idx].c_str());,9,155,1
562,RETURN,-1,,return 0;,9,160,2
569,RETURN,-1,,return get<double>(idx);,5,166,1
577,RETURN,-1,,return (float)get<double>(idx);,5,172,1
613,RETURN,-1,,return (*ps)[(idx == -1) ? 0 : idx];,5,180,3
629,RETURN,-1,,return get<String>(idx);,5,186,1
716,RETURN,1,,return *this;,9,223,1
806,RETURN,-1,,return *this;,5,246,4
878,RETURN,-1,,return (type == Param::STRING);,5,264,1
888,RETURN,-1,,return (type == Param::INT);,5,269,1
898,RETURN,-1,,return (type == Param::REAL || type == Param::INT);,5,274,1
921,RETURN,-1,,return (int)pi->size();,9,282,3
932,RETURN,-1,,return (int)ps->size();,9,284,6
943,RETURN,-1,,return (int)pd->size();,9,286,9
1129,RETURN,-1,,return stream;,5,324,3
1136,RETURN,-1,,return dict.count(key) != 0;,5,331,1
1157,RETURN,-1,,return (i == dict.end()) ? NULL : &i->second;,5,337,3
1183,RETURN,-1,,return (i == dict.end()) ? NULL : &i->second;,5,343,3
1226,RETURN,-1,,return i->second;,5,351,4
1235,RETURN,-1,,return this->get(key).get<T>();,5,357,1
1266,RETURN,1,,return i->second.get<T>();,9,366,1
1275,RETURN,1,,return defaultValue;,9,368,1
1318,RETURN,-1,,return value;,5,381,4
1370,RETURN,-1,,return stream;,5,395,3
1376,RETURN,-1,,return dict.begin();,5,400,1
1385,RETURN,-1,,return dict.end();,5,405,1
1407,RETURN,-1,,return Ptr<Layer>(LayerClass::create(params));,5,53,1
1537,RETURN,-1,,return m(&ranges[0]);,5,69,4
1588,RETURN,-1,,return m(&ranges[0]);,5,80,6
1645,RETURN,-1,,return m(&ranges[0]);,5,92,7
1708,RETURN,-1,,return m(&ranges[0]);,5,105,8
1755,RETURN,-1,,"return Mat(m.dims - 2, sz, m.type(), (void*)m.ptr<float>(n, cn));",5,116,4
1790,RETURN,-1,,return shape;,5,123,3
1797,RETURN,-1,,"return shape(mat.size.p, mat.dims);",5,128,1
1812,RETURN,-1,,"return shape(sz.p, sz.dims());",5,133,1
1826,RETURN,-1,,"return shape(mat.size.p, mat.dims);",5,138,1
1842,RETURN,-1,,return i < 0;,40,151,1
1889,RETURN,-1,,return s;,5,158,6
1904,RETURN,1,,return 0;,9,164,1
1966,RETURN,-1,,return elems;,5,180,12
1981,RETURN,1,,return 0;,9,187,1
2042,RETURN,-1,,return elems;,5,203,12
2070,RETURN,-1,,return c;,5,211,4
2122,RETURN,-1,,return ss.str();,5,224,6
2154,RETURN,-1,,return out;,5,236,2
2193,RETURN,-1,,return axis;,5,246,4
2201,RETURN,-1,,"return normalize_axis(axis, (int)shape.size());",5,252,1
2224,RETURN,1,,"return Range(0, axisSize);",9,259,1
2280,RETURN,-1,,return clamped;,5,266,8
2340,RETURN,1,,return false;,13,282,1
2342,RETURN,-1,,return true;,5,284,7
4152,RETURN,-1,,return &descriptor_table_opencv_2dcaffe_2eproto;,3,3353,1
4173,RETURN,-1,,return file_level_enum_descriptors_opencv_2dcaffe_2eproto[0];,3,3361,2
4189,RETURN,-1,,return true;,7,3367,5
4192,RETURN,-1,,return false;,7,3369,7
4211,RETURN,-1,,return file_level_enum_descriptors_opencv_2dcaffe_2eproto[1];,3,3382,2
4229,RETURN,-1,,return true;,7,3389,7
4232,RETURN,-1,,return false;,7,3391,9
4252,RETURN,-1,,return file_level_enum_descriptors_opencv_2dcaffe_2eproto[2];,3,3405,2
4268,RETURN,-1,,return true;,7,3411,5
4271,RETURN,-1,,return false;,7,3413,7
4290,RETURN,-1,,return file_level_enum_descriptors_opencv_2dcaffe_2eproto[3];,3,3426,2
4306,RETURN,-1,,return true;,7,3432,5
4309,RETURN,-1,,return false;,7,3434,7
4328,RETURN,-1,,return file_level_enum_descriptors_opencv_2dcaffe_2eproto[4];,3,3447,2
4352,RETURN,-1,,return true;,7,3457,13
4355,RETURN,-1,,return false;,7,3459,15
4378,RETURN,-1,,return file_level_enum_descriptors_opencv_2dcaffe_2eproto[5];,3,3476,2
4394,RETURN,-1,,return true;,7,3482,5
4397,RETURN,-1,,return false;,7,3484,7
4416,RETURN,-1,,return file_level_enum_descriptors_opencv_2dcaffe_2eproto[6];,3,3497,2
4436,RETURN,-1,,return true;,7,3505,9
4439,RETURN,-1,,return false;,7,3507,11
4460,RETURN,-1,,return file_level_enum_descriptors_opencv_2dcaffe_2eproto[7];,3,3522,2
4478,RETURN,-1,,return true;,7,3529,7
4481,RETURN,-1,,return false;,7,3531,9
4501,RETURN,-1,,return file_level_enum_descriptors_opencv_2dcaffe_2eproto[8];,3,3545,2
4517,RETURN,-1,,return true;,7,3551,5
4520,RETURN,-1,,return false;,7,3553,7
4539,RETURN,-1,,return file_level_enum_descriptors_opencv_2dcaffe_2eproto[9];,3,3566,2
4557,RETURN,-1,,return true;,7,3573,7
4560,RETURN,-1,,return false;,7,3575,9
4580,RETURN,-1,,return file_level_enum_descriptors_opencv_2dcaffe_2eproto[10];,3,3589,2
4596,RETURN,-1,,return true;,7,3595,5
4599,RETURN,-1,,return false;,7,3597,7
4618,RETURN,-1,,return file_level_enum_descriptors_opencv_2dcaffe_2eproto[11];,3,3610,2
4634,RETURN,-1,,return true;,7,3616,5
4637,RETURN,-1,,return false;,7,3618,7
4656,RETURN,-1,,return file_level_enum_descriptors_opencv_2dcaffe_2eproto[12];,3,3631,2
4674,RETURN,-1,,return true;,7,3638,7
4677,RETURN,-1,,return false;,7,3640,9
4697,RETURN,-1,,return file_level_enum_descriptors_opencv_2dcaffe_2eproto[13];,3,3654,2
4715,RETURN,-1,,return true;,7,3661,7
4718,RETURN,-1,,return false;,7,3663,9
4738,RETURN,-1,,return file_level_enum_descriptors_opencv_2dcaffe_2eproto[14];,3,3677,2
4756,RETURN,-1,,return true;,7,3684,7
4759,RETURN,-1,,return false;,7,3686,9
4779,RETURN,-1,,return file_level_enum_descriptors_opencv_2dcaffe_2eproto[15];,3,3700,2
4799,RETURN,-1,,return true;,7,3708,9
4802,RETURN,-1,,return false;,7,3710,11
4823,RETURN,-1,,return file_level_enum_descriptors_opencv_2dcaffe_2eproto[16];,3,3725,2
4841,RETURN,-1,,return true;,7,3732,7
4844,RETURN,-1,,return false;,7,3734,9
4864,RETURN,-1,,return file_level_enum_descriptors_opencv_2dcaffe_2eproto[17];,3,3748,2
4882,RETURN,-1,,return true;,7,3755,7
4885,RETURN,-1,,return false;,7,3757,9
4905,RETURN,-1,,return file_level_enum_descriptors_opencv_2dcaffe_2eproto[18];,3,3771,2
4923,RETURN,-1,,return true;,7,3778,7
4926,RETURN,-1,,return false;,7,3780,9
4946,RETURN,-1,,return file_level_enum_descriptors_opencv_2dcaffe_2eproto[19];,3,3794,2
4964,RETURN,-1,,return true;,7,3801,7
4967,RETURN,-1,,return false;,7,3803,9
4987,RETURN,-1,,return file_level_enum_descriptors_opencv_2dcaffe_2eproto[20];,3,3817,2
5005,RETURN,-1,,return true;,7,3824,7
5008,RETURN,-1,,return false;,7,3826,9
5028,RETURN,-1,,return file_level_enum_descriptors_opencv_2dcaffe_2eproto[21];,3,3840,2
5046,RETURN,-1,,return true;,7,3847,7
5049,RETURN,-1,,return false;,7,3849,9
5069,RETURN,-1,,return file_level_enum_descriptors_opencv_2dcaffe_2eproto[22];,3,3863,2
5161,RETURN,-1,,return true;,7,3907,81
5164,RETURN,-1,,return false;,7,3909,83
5221,RETURN,-1,,return file_level_enum_descriptors_opencv_2dcaffe_2eproto[23];,3,3960,2
5237,RETURN,-1,,return true;,7,3966,5
5240,RETURN,-1,,return false;,7,3968,7
5259,RETURN,-1,,return file_level_enum_descriptors_opencv_2dcaffe_2eproto[24];,3,3981,2
5277,RETURN,-1,,return true;,7,3988,7
5280,RETURN,-1,,return false;,7,3990,9
5300,RETURN,-1,,return file_level_enum_descriptors_opencv_2dcaffe_2eproto[25];,3,4004,2
5322,RETURN,-1,,return true;,7,4013,11
5325,RETURN,-1,,return false;,7,4015,13
5339,RETURN,-1,,return file_level_enum_descriptors_opencv_2dcaffe_2eproto[26];,3,4021,2
5355,RETURN,-1,,return true;,7,4027,5
5358,RETURN,-1,,return false;,7,4029,7
5403,RETURN,1,,return;,43,4062,1
5608,RETURN,-1,,return ptr;,3,4124,3
5686,RETURN,-1,,return target;,3,4151,6
5759,RETURN,-1,,"return MaybeComputeUnknownFieldsSize(total_size, &_cached_size_);",3,4177,7
5780,RETURN,-1,,return &_class_data_;,85,4184,1
5843,RETURN,1,,return;,22,4205,1
5851,RETURN,-1,,return true;,3,4211,1
5878,RETURN,-1,,"return ::PROTOBUF_NAMESPACE_ID::internal::AssignDescriptors(
      &descriptor_table_opencv_2dcaffe_2eproto_getter, &descriptor_table_opencv_2dcaffe_2eproto_once,
      file_level_metadata_opencv_2dcaffe_2eproto[0]);",3,4221,1
5981,RETURN,-1,,return *msg->shape_;,3,4257,1
6143,RETURN,1,,return;,43,4312,1
6890,RETURN,-1,,return ptr;,3,4496,6
7202,RETURN,-1,,return target;,3,4580,17
7522,RETURN,-1,,"return MaybeComputeUnknownFieldsSize(total_size, &_cached_size_);",3,4682,12
7543,RETURN,-1,,return &_class_data_;,85,4689,1
7717,RETURN,1,,return;,22,4738,1
7725,RETURN,-1,,return true;,3,4744,1
7850,RETURN,-1,,"return ::PROTOBUF_NAMESPACE_ID::internal::AssignDescriptors(
      &descriptor_table_opencv_2dcaffe_2eproto_getter, &descriptor_table_opencv_2dcaffe_2eproto_once,
      file_level_metadata_opencv_2dcaffe_2eproto[1]);",3,4771,1
7907,RETURN,1,,return;,43,4804,1
8108,RETURN,-1,,return ptr;,3,4868,3
8206,RETURN,-1,,return target;,3,4894,6
8248,RETURN,-1,,"return MaybeComputeUnknownFieldsSize(total_size, &_cached_size_);",3,4912,8
8269,RETURN,-1,,return &_class_data_;,91,4919,1
8332,RETURN,1,,return;,22,4940,1
8340,RETURN,-1,,return true;,3,4946,1
8367,RETURN,-1,,"return ::PROTOBUF_NAMESPACE_ID::internal::AssignDescriptors(
      &descriptor_table_opencv_2dcaffe_2eproto_getter, &descriptor_table_opencv_2dcaffe_2eproto_once,
      file_level_metadata_opencv_2dcaffe_2eproto[2]);",3,4956,1
8424,RETURN,1,,return;,43,4989,1
8655,RETURN,-1,,return ptr;,3,5056,3
8750,RETURN,-1,,return target;,3,5080,6
8799,RETURN,-1,,"return MaybeComputeUnknownFieldsSize(total_size, &_cached_size_);",3,5100,7
8820,RETURN,-1,,return &_class_data_;,92,5107,1
8883,RETURN,1,,return;,22,5128,1
8891,RETURN,-1,,return true;,3,5134,1
8918,RETURN,-1,,"return ::PROTOBUF_NAMESPACE_ID::internal::AssignDescriptors(
      &descriptor_table_opencv_2dcaffe_2eproto_getter, &descriptor_table_opencv_2dcaffe_2eproto_once,
      file_level_metadata_opencv_2dcaffe_2eproto[3]);",3,5144,1
8988,RETURN,-1,,return *msg->scale_filler_;,3,5171,1
9090,RETURN,1,,return;,43,5206,1
9424,RETURN,-1,,return ptr;,3,5305,6
9595,RETURN,-1,,return target;,3,5350,10
9671,RETURN,-1,,"return MaybeComputeUnknownFieldsSize(total_size, &_cached_size_);",3,5386,8
9692,RETURN,-1,,return &_class_data_;,98,5393,1
9808,RETURN,1,,return;,22,5429,1
9816,RETURN,-1,,return true;,3,5435,1
9864,RETURN,-1,,"return ::PROTOBUF_NAMESPACE_ID::internal::AssignDescriptors(
      &descriptor_table_opencv_2dcaffe_2eproto_getter, &descriptor_table_opencv_2dcaffe_2eproto_once,
      file_level_metadata_opencv_2dcaffe_2eproto[4]);",3,5449,1
10087,RETURN,1,,return;,43,5535,1
11287,RETURN,-1,,return ptr;,3,5814,6
11940,RETURN,-1,,return target;,3,5935,23
12348,RETURN,-1,,"return MaybeComputeUnknownFieldsSize(total_size, &_cached_size_);",3,6066,17
12369,RETURN,-1,,return &_class_data_;,93,6073,1
12588,RETURN,1,,return;,22,6132,1
12596,RETURN,-1,,return true;,3,6138,1
12734,RETURN,-1,,"return ::PROTOBUF_NAMESPACE_ID::internal::AssignDescriptors(
      &descriptor_table_opencv_2dcaffe_2eproto_getter, &descriptor_table_opencv_2dcaffe_2eproto_once,
      file_level_metadata_opencv_2dcaffe_2eproto[5]);",3,6165,1
12886,RETURN,-1,,return *msg->nms_param_;,3,6214,1
12896,RETURN,-1,,return *msg->save_output_param_;,3,6218,1
13051,RETURN,1,,return;,43,6262,1
13723,RETURN,-1,,return ptr;,3,6440,6
14092,RETURN,-1,,return target;,3,6530,17
14290,RETURN,-1,,"return MaybeComputeUnknownFieldsSize(total_size, &_cached_size_);",3,6606,9
14311,RETURN,-1,,return &_class_data_;,100,6613,1
14510,RETURN,1,,return;,22,6673,1
14518,RETURN,-1,,return true;,3,6679,1
14597,RETURN,-1,,"return ::PROTOBUF_NAMESPACE_ID::internal::AssignDescriptors(
      &descriptor_table_opencv_2dcaffe_2eproto_getter, &descriptor_table_opencv_2dcaffe_2eproto_once,
      file_level_metadata_opencv_2dcaffe_2eproto[6]);",3,6699,1
14817,RETURN,1,,return;,43,6771,1
15339,RETURN,-1,,return ptr;,3,6905,6
15596,RETURN,-1,,return target;,3,6966,13
15763,RETURN,-1,,"return MaybeComputeUnknownFieldsSize(total_size, &_cached_size_);",3,7021,9
15784,RETURN,-1,,return &_class_data_;,81,7028,1
15924,RETURN,1,,return;,22,7071,1
