197,203,CONDITION
236,242,CONDITION
275,281,CONDITION
344,345,CONDITION
358,359,CONDITION
393,394,CONDITION
505,506,CONDITION
519,520,CONDITION
535,536,CONDITION
639,640,CONDITION
710,711,CONDITION
719,720,CONDITION
749,750,CONDITION
779,780,CONDITION
819,820,CONDITION
838,839,CONDITION
857,858,CONDITION
914,915,CONDITION
1004,1005,CONDITION
1010,1015,CONDITION
1047,1048,CONDITION
1053,1058,CONDITION
1086,1087,CONDITION
1092,1097,CONDITION
1209,1210,CONDITION
1258,1259,CONDITION
1291,1292,CONDITION
1337,1347,CONDITION
1511,1517,CONDITION
1557,1563,CONDITION
1609,1615,CONDITION
1667,1673,CONDITION
1728,1734,CONDITION
1898,1899,CONDITION
1915,1916,CONDITION
1924,1925,CONDITION
1949,1955,CONDITION
1975,1976,CONDITION
1989,1990,CONDITION
1998,1999,CONDITION
2023,2029,CONDITION
2079,2080,CONDITION
2094,2107,CONDITION
2216,2217,CONDITION
2321,2327,CONDITION
2333,2334,CONDITION
4182,4183,CONDITION
4220,4221,CONDITION
4261,4262,CONDITION
4299,4300,CONDITION
4337,4338,CONDITION
4387,4388,CONDITION
4425,4426,CONDITION
4469,4470,CONDITION
4510,4511,CONDITION
4548,4549,CONDITION
4589,4590,CONDITION
4627,4628,CONDITION
4665,4666,CONDITION
4706,4707,CONDITION
4747,4748,CONDITION
4788,4789,CONDITION
4832,4833,CONDITION
4873,4874,CONDITION
4914,4915,CONDITION
4955,4956,CONDITION
4996,4997,CONDITION
5037,5038,CONDITION
5078,5079,CONDITION
5230,5231,CONDITION
5268,5269,CONDITION
5309,5310,CONDITION
5348,5349,CONDITION
5368,5369,CONDITION
5398,5399,CONDITION
5471,5472,CONDITION
5492,5493,CONDITION
5499,5500,CONDITION
5521,5522,CONDITION
5529,5530,CONDITION
5548,5549,CONDITION
5561,5562,CONDITION
5575,5576,CONDITION
5599,5600,CONDITION
5639,5640,CONDITION
5654,5655,CONDITION
5718,5719,CONDITION
5837,5838,CONDITION
5993,5994,CONDITION
6026,6027,CONDITION
6043,6044,CONDITION
6138,6139,CONDITION
6168,6169,CONDITION
6236,6237,CONDITION
6241,6242,CONDITION
6250,6251,CONDITION
6263,6264,CONDITION
6307,6308,CONDITION
6328,6329,CONDITION
6335,6336,CONDITION
6362,6363,CONDITION
6374,6375,CONDITION
6401,6402,CONDITION
6413,6414,CONDITION
6440,6441,CONDITION
6452,6453,CONDITION
6479,6480,CONDITION
6491,6492,CONDITION
6513,6514,CONDITION
6521,6522,CONDITION
6546,6547,CONDITION
6568,6569,CONDITION
6576,6577,CONDITION
6601,6602,CONDITION
6620,6621,CONDITION
