,id,label,node_type,weight,fan_in,fan_out,sscc,con_cf,con_df,con_zc,con_rf,con_val,McCabe,LOC,n1,n2,N1,N2,H,V,AFO,AFP,VRI,DRI,VMulD,VPlusD,dc,cc,bc,pg,er,cr,gc,ggc,gcd,ggcd,iFit
0,61447,ngx_sprintf (61447),Method,2,28,1,1,0,1,0,0,1,1,11.0,3,4,3,8,12.754887502163468,30.880904142633646,0.2960814133872592,0.15278807038522882,0.3496240698678594,0.9195114362225133,2.5906188367125282,1.2691355060903726,0.013197360527894421,0.04306752988092122,5.995199519519866e-05,0.0018284084278623403,0.000816676546178282,0.03194390250058704,1573.0,1544.8446662376411,9026.722222222223,8697.233882987324,2.2771554211933573e-10
1,61524,ngx_vslprintf (61524),Method,106,8,10,96,0,6,0,0,10,56,318.0,19,39,163,188,286.84130929105584,2056.1513292897776,0.2906487269030893,0.588245016774881,0.6889451363484789,4.884207992643283,9.938104470437718,5.573153128991762,0.008398320335932814,0.05274412150536925,0.0004811076885977632,0.010669647620190051,0.003380222162406338,0.15522932059706185,3220.0,3130.015582075677,6922.999999999999,6554.3326032062105,1.842536887786332e-09
2,413705,ngx_debug_point (413705),Method,3,1,1,2,1,0,0,0,1,3,18.0,3,6,4,7,20.264662506490403,34.86917501586544,0.010865372968339787,0.008747219418733094,0.00011728537631824752,0.004076667820771108,1.0041944313306088,0.0041939531970893555,0.0011997600479904018,0.0026883512186451596,3.96079247535847e-06,0.00046427322119258727,2.3466031197073857e-05,0.00037832808410911387,2.0,2.0,64.22222222222223,64.05252382889489,8.40306507394419e-14
3,15865,debug_points (15865),Member,1,1,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.0027163432420849467,0.010794417886988426,0.0,0.0015172271817055882,1.0015172271817057,0.0015172271817055882,0.0005998800239952009,0.002214941627059204,0.0,0.000825866441677073,6.41799337844954e-05,0.0003593277855837861,0.0,0.0,11.916666666666666,11.878955912593927,2.7292744386365837e-14
4,24589,ngx_log_error (24589),Method,3,216,1,2,0,1,0,0,0,2,11.0,2,5,2,10,13.60964047443681,33.68825906469125,0.22077989815049198,0.8942637524263864,0.3519784424146045,24.41093889643627,34.355041589496594,24.762917338850876,0.0689862027594481,0.0795457346886787,0.001179866067602806,0.017616189654715366,0.005413985079976074,0.39492197423767716,6069.444444444444,5854.255983822886,161622.91666666663,153671.21948880007,5.168007227912804e-09
5,24344,ngx_log_error_core (24344),Method,28,2,11,17,1,7,0,0,9,15,110.0,18,23,68,89,179.1005750152729,841.1356647250392,0.21263086842423715,0.796572392546987,0.6925221732046293,6.321932724290395,12.39253348657407,7.014454897495025,0.005998800239952009,0.050365395404735065,0.0011136128116513552,0.01582197906082322,0.004633482894598936,0.3385802331707612,1974.4444444444441,1812.091266509691,5007.777777777779,4517.708368264335,2.51291419733579e-09
6,8213,ngx_conf_deprecated (8213),Method,4,0,3,1,0,1,0,0,2,1,12.0,2,5,3,7,13.60964047443681,28.07354922057604,0.08691381247653211,0.010077844143195888,0.08209838690556176,0.0,1.0820983869055618,0.08209838690556176,0.0017996400719856027,0.0,0.0,0.0004314185559808697,0.0,0.00013751390133164313,268.5833333333333,265.74012906112546,0.0,0.0,0.0
7,6981,ngx_conf_log_error (6981),Method,9,49,5,4,0,5,0,0,2,4,31.0,6,11,22,37,53.5635228093372,241.16030763377,0.25204547054685006,0.1388788314459003,0.7433108877504773,0.5847022692668319,2.7626287198557566,1.3280131570173093,0.015596880623875223,0.014495730990788143,0.00023692740443507937,0.0017873414505510789,0.0008248375891365881,0.02645592003001342,5995.888888888889,5873.859478141996,6629.277777777777,6301.320828213967,5.1355823269723626e-11
8,8384,old_name (8384),Member,1,1,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.0027163432420849467,0.006382634624024062,0.0,0.0005547391088186484,1.0005547391088188,0.0005547391088186484,0.0005998800239952009,0.0005998800239952009,0.0,0.0005607365517544019,1.8957345971563984e-05,5.743227643850978e-05,0.0,0.0,3.0,3.0,7.725244967702515e-17
9,8385,new_name (8385),Member,1,1,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.0027163432420849467,0.006382634624024062,0.0,0.0005547391088186484,1.0005547391088188,0.0005547391088186484,0.0005998800239952009,0.0005998800239952009,0.0,0.0005607365517544019,1.8957345971563984e-05,5.743227643850978e-05,0.0,0.0,3.0,3.0,7.725244967702515e-17
10,421915,ngx_close_dir (421915),Method,3,4,1,2,1,0,0,0,1,2,9.0,2,3,2,3,6.754887502163468,11.60964047443681,0.010865372968339787,0.02380336073252208,0.0005358707482239171,0.02004491290472258,1.020591525135423,0.020580783652946497,0.0023995200959808036,0.001919616076784643,4.800960576192085e-07,0.0005055068711620256,0.0002435162783504016,0.005010337921328367,12.0,12.0,243.0,234.43591861288746,3.8788334003688255e-12
11,409555,dir (409555),Member,1,4,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.0027163432420849467,0.04931913057981271,0.0,0.03454298348915246,1.0345429834891524,0.03454298348915246,0.0017996400719856027,0.002449510097980404,0.0,0.0012015805377428679,0.00046009025211557806,0.007404262991353588,0.0,0.0,186.0,174.91939354064658,5.257511932989229e-12
