,name,Nginx-1.22.1,Nginx-1.21.1,Nginx-1.20.0,Nginx-1.19.0
0,ngx_log_error,1/15.57,1/15.62,1/15.64,1/15.17
1,data,2/14.21,2/14.19,2/14.18,2/14.15
2,len,3/13.38,3/13.27,3/13.27,3/13.28
3,ngx_palloc,4/9.07,4/9.08,4/8.92,4/8.79
4,ngx_log_error_core,5/7.92,5/7.95,5/7.96,5/7.73
5,ngx_palloc_large,6/7.61,6/7.63,6/7.57,6/7.45
6,ngx_vslprintf,7/6.97,7/6.99,7/6.99,7/6.81
7,ngx_pnalloc,8/5.9,8/5.93,8/5.95,8/5.81
8,ngx_pcalloc,9/5.33,9/5.34,9/5.35,9/5.28
9,elts,10/3.81,10/3.83,10/3.8,10/3.77
