,Nginx-1.22.1,Nginx-1.22.1,Nginx-1.22.1,Nginx-1.21.1,Nginx-1.21.1,Nginx-1.21.1,Nginx-1.20.0,Nginx-1.20.0,Nginx-1.20.0,Nginx-1.19.0,Nginx-1.19.0,Nginx-1.19.0
,id,val,label,id,val,label,id,val,label,id,val,label
38,20193,2.43,ngx_hash_wildcard_init,20186,2.44,ngx_hash_wildcard_init,392524,2.52,ngx_mail_smtp_parse_command,386831,2.52,ngx_mail_smtp_parse_command
39,394050,2.39,ngx_mail_pop3_parse_command,391187,2.39,ngx_mail_pop3_parse_command,20174,2.43,ngx_hash_wildcard_init,385036,2.44,ngx_mail_pop3_parse_command
40,18203,2.37,ngx_walk_tree,18208,2.36,ngx_walk_tree,390729,2.43,ngx_mail_pop3_parse_command,19950,2.41,ngx_hash_wildcard_init
41,348313,2.33,ngx_http_upstream_init_round_robin,468222,2.34,ngx_stream_upstream_init_round_robin,18196,2.36,ngx_walk_tree,17972,2.36,ngx_walk_tree
42,471266,2.33,ngx_stream_upstream_init_round_robin,323135,2.34,ngx_http_upstream_init_round_robin,467472,2.34,ngx_stream_upstream_init_round_robin,67734,2.31,ngx_thread_task_post
43,68357,2.32,ngx_thread_task_post,68175,2.33,ngx_thread_task_post,322659,2.34,ngx_http_upstream_init_round_robin,6443,2.29,ngx_conf_include
44,395989,2.31,ngx_mail_smtp_parse_command,393126,2.3,ngx_mail_smtp_parse_command,68177,2.33,ngx_thread_task_post,10416,2.29,ngx_connection_local_sockaddr
45,6515,2.3,ngx_conf_include,6520,2.3,ngx_conf_include,6520,2.3,ngx_conf_include,335745,2.27,ngx_http_v2_push_stream
46,366625,2.28,ngx_http_v2_push_stream,341437,2.28,ngx_http_v2_push_stream,340961,2.28,ngx_http_v2_push_stream,82823,2.23,ngx_event_acceptex
47,10572,2.27,ngx_connection_local_sockaddr,10577,2.27,ngx_connection_local_sockaddr,10565,2.27,ngx_connection_local_sockaddr,214311,2.23,ngx_http_secure_link_variable
48,269636,2.24,ngx_http_subrequest,267509,2.25,ngx_http_subrequest,267209,2.25,ngx_http_subrequest,318086,2.22,ngx_http_upstream_init_round_robin
49,219821,2.24,ngx_http_secure_link_variable,83270,2.24,ngx_event_acceptex,83272,2.24,ngx_event_acceptex,459842,2.22,ngx_stream_upstream_init_round_robin
50,83457,2.23,ngx_event_acceptex,217714,2.24,ngx_http_secure_link_variable,217593,2.24,ngx_http_secure_link_variable,263275,2.22,ngx_http_subrequest
51,352645,2.2,ngx_http_get_variable,327467,2.21,ngx_http_get_variable,326991,2.2,ngx_http_get_variable,413637,2.19,ngx_win32_rename_file
52,475820,2.2,ngx_stream_get_variable,472776,2.2,ngx_stream_get_variable,472026,2.2,ngx_stream_get_variable,322343,2.18,ngx_http_get_variable
53,424107,2.19,ngx_win32_rename_file,421245,2.19,ngx_win32_rename_file,420623,2.19,ngx_win32_rename_file,464336,2.18,ngx_stream_get_variable
54,263250,2.18,ngx_http_types_slot,261123,2.18,ngx_http_types_slot,260823,2.18,ngx_http_types_slot,256941,2.17,ngx_http_types_slot
55,9138,2.17,ngx_open_listening_sockets,9143,2.18,ngx_open_listening_sockets,90276,2.15,ngx_ssl_error,89696,2.13,ngx_ssl_error
56,90535,2.14,ngx_ssl_error,90252,2.15,ngx_ssl_error,9143,2.14,ngx_open_listening_sockets,43770,2.11,ngx_resolve_addr_done
57,346771,2.12,ngx_http_upstream_bind_set_slot,321593,2.12,ngx_http_upstream_bind_set_slot,321120,2.11,ngx_http_upstream_bind_set_slot,9061,2.1,ngx_open_listening_sockets
58,44188,2.1,ngx_resolve_addr_done,44006,2.1,ngx_resolve_addr_done,43999,2.1,ngx_resolve_addr_done,316559,2.09,ngx_http_upstream_bind_set_slot
