6060,RETURN,-1,,return ACL_DENIED_CHANNEL;,5,1806,6
6080,RETURN,1,,return ACL_OK;,20,1819,1
6148,RETURN,-1,,return ACL_OK;,13,1839,2
6178,RETURN,-1,,return relevant_error;,5,1851,16
6186,RETURN,-1,,"return ACLCheckAllUserCommandPerm(c->user, c->cmd, c->argv, c->argc, idxptr);",5,1856,1
6251,RETURN,1,,return;,51,1872,1
6381,RETURN,-1,,return;,9,1913,2
6725,RETURN,-1,,return NULL;,9,2018,5
6727,RETURN,-1,,return acl_args;,5,2021,10
6783,RETURN,-1,,"return sdscatfmt(sdsempty(),
                         ""Unmatched parenthesis in acl selector starting ""
                         ""at '%s'."", (char *) argv[invalid_idx]);",9,2038,1
6903,RETURN,-1,,return error;,5,2083,23
6930,RETURN,-1,,return C_ERR;,9,2107,2
6952,RETURN,-1,,return C_ERR;,9,2113,3
6975,RETURN,-1,,return C_ERR;,9,2121,1
7043,RETURN,-1,,return C_ERR;,17,2135,5
7116,RETURN,-1,,return C_OK;,5,2149,19
7183,RETURN,-1,,return C_ERR;,13,2165,2
7282,RETURN,-1,,return C_ERR;,17,2183,4
7319,RETURN,-1,,return C_OK;,5,2196,5
7348,RETURN,-1,,return errors;,9,2231,3
7734,RETURN,-1,,return NULL;,9,2372,10
7748,RETURN,-1,,return errors;,9,2377,4
8071,RETURN,-1,,return retval;,5,2458,33
8212,RETURN,1,,return 0;,33,2518,1
8223,RETURN,1,,return 0;,35,2519,1
8251,RETURN,1,,return 0;,50,2522,1
8264,RETURN,1,,return 0;,43,2523,1
8277,RETURN,1,,return 0;,47,2524,1
8279,RETURN,-1,,return 1;,5,2525,9
8684,RETURN,-1,,"return sdscatfmt(sdsempty(), ""User %S has no permissions to run ""
                                     ""the '%S' command"", user->name, cmd->fullname);",9,2645,3
8701,RETURN,-1,,"return sdscatfmt(sdsempty(), ""User %S has no permissions to access ""
                                         ""the '%S' key"", user->name, errored_val);",13,2649,1
8711,RETURN,-1,,"return sdsnew(""No permissions to access a key"");",13,2652,1
8721,RETURN,-1,,"return sdscatfmt(sdsempty(), ""User %S has no permissions to access ""
                                         ""the '%S' channel"", user->name, errored_val);",13,2656,1
8731,RETURN,-1,,"return sdsnew(""No permissions to access a channel"");",13,2659,1
8982,RETURN,-1,,return 3;,5,2733,11
9047,RETURN,-1,,return;,13,2764,2
9120,RETURN,-1,,return;,9,2779,14
9172,RETURN,-1,,return;,17,2786,2
9258,RETURN,-1,,return;,13,2806,2
9609,RETURN,-1,,return;,9,2882,2
9769,RETURN,-1,,return;,13,2909,2
9838,RETURN,1,,return;,22,2921,1
9856,RETURN,-1,,return;,13,2928,2
