421,CALL,1,,log4cxx::Logger,22,STATIC_DISPATCH,,4,<operator>.fieldAccess,<operator>.fieldAccess,1,,,<empty>
429,CALL,-1,,"fooLogger = log4cxx::Logger::getLogger(""MyApp.foo"")",7,STATIC_DISPATCH,,8,<operator>.assignment,<operator>.assignment,2,,,<empty>
431,CALL,2,,"log4cxx::Logger::getLogger(""MyApp.foo"")",19,STATIC_DISPATCH,,8,log4cxx.Logger.getLogger,log4cxx.Logger.getLogger,2,,,<empty>
432,CALL,0,,log4cxx::Logger::getLogger,19,STATIC_DISPATCH,,8,<operator>.fieldAccess,<operator>.fieldAccess,1,,,<empty>
433,CALL,1,,log4cxx::Logger,19,STATIC_DISPATCH,,8,<operator>.fieldAccess,<operator>.fieldAccess,1,,,<empty>
438,CALL,-1,,"LOG4CXX_TRACE(fooLogger, ""Doing foo at trace level"")",2,STATIC_DISPATCH,,9,LOG4CXX_TRACE,LOG4CXX_TRACE,3,,,<empty>
441,CALL,-1,,"LOG4CXX_DEBUG(fooLogger, ""Doing foo at debug level"")",2,STATIC_DISPATCH,,10,LOG4CXX_DEBUG,LOG4CXX_DEBUG,4,,,<empty>
444,CALL,-1,,"LOG4CXX_INFO(fooLogger, ""Doing foo at info level"")",2,STATIC_DISPATCH,,11,LOG4CXX_INFO,LOG4CXX_INFO,5,,,<empty>
447,CALL,-1,,"LOG4CXX_WARN(fooLogger, ""Doing foo at warn level"")",2,STATIC_DISPATCH,,12,LOG4CXX_WARN,LOG4CXX_WARN,6,,,<empty>
450,CALL,-1,,"LOG4CXX_ERROR(fooLogger, ""Doing foo at error level"")",2,STATIC_DISPATCH,,13,LOG4CXX_ERROR,LOG4CXX_ERROR,7,,,<empty>
453,CALL,-1,,"LOG4CXX_FATAL(fooLogger, ""Doing foo at fatal level"")",2,STATIC_DISPATCH,,14,LOG4CXX_FATAL,LOG4CXX_FATAL,8,,,<empty>
