1743,DEPENDENCY,locale.hpp,locale.hpp,include
1745,DEPENDENCY,format,format,include
1747,DEPENDENCY,fmt/core.hpp,fmt/core.hpp,include
1749,DEPENDENCY,fmt/color.hpp,fmt/color.hpp,include
1751,DEPENDENCY,fmt/ostream.hpp,fmt/ostream.hpp,include
1753,DEPENDENCY,iomanip,iomanip,include
1855,DEPENDENCY,stdlib.hpp,stdlib.hpp,include
1857,DEPENDENCY,log4cxx/logger.hpp,log4cxx/logger.hpp,include
1859,DEPENDENCY,log4cxx/basicconfigurator.hpp,log4cxx/basicconfigurator.hpp,include
1861,DEPENDENCY,log4cxx/ndc.hpp,log4cxx/ndc.hpp,include
1863,DEPENDENCY,locale.hpp,locale.hpp,include
1916,DEPENDENCY,stdlib.hpp,stdlib.hpp,include
1918,DEPENDENCY,log4cxx/stream.hpp,log4cxx/stream.hpp,include
1920,DEPENDENCY,log4cxx/basicconfigurator.hpp,log4cxx/basicconfigurator.hpp,include
1922,DEPENDENCY,log4cxx/helpers/exception.hpp,log4cxx/helpers/exception.hpp,include
1924,DEPENDENCY,log4cxx/ndc.hpp,log4cxx/ndc.hpp,include
1926,DEPENDENCY,locale.hpp,locale.hpp,include
2029,DEPENDENCY,log4cxx-qt/configuration.hpp,log4cxx-qt/configuration.hpp,include
2031,DEPENDENCY,log4cxx-qt/transcoder.hpp,log4cxx-qt/transcoder.hpp,include
2033,DEPENDENCY,log4cxx/helpers/loglog.hpp,log4cxx/helpers/loglog.hpp,include
2035,DEPENDENCY,log4cxx/xml/domconfigurator.hpp,log4cxx/xml/domconfigurator.hpp,include
2037,DEPENDENCY,log4cxx/propertyconfigurator.hpp,log4cxx/propertyconfigurator.hpp,include
2039,DEPENDENCY,QFileSystemWatcher,QFileSystemWatcher,include
2041,DEPENDENCY,QDir,QDir,include
2043,DEPENDENCY,QFile,QFile,include
2045,DEPENDENCY,memory,memory,include
2047,DEPENDENCY,QDebug,QDebug,include
2350,DEPENDENCY,log4cxx-qt/messagehandler.hpp,log4cxx-qt/messagehandler.hpp,include
2352,DEPENDENCY,log4cxx/logger.hpp,log4cxx/logger.hpp,include
2354,DEPENDENCY,log4cxx/spi/location/locationinfo.hpp,log4cxx/spi/location/locationinfo.hpp,include
2480,DEPENDENCY,log4cxx/logstring.hpp,log4cxx/logstring.hpp,include
2482,DEPENDENCY,log4cxx/rolling/action.hpp,log4cxx/rolling/action.hpp,include
2484,DEPENDENCY,log4cxx/private/action_priv.hpp,log4cxx/private/action_priv.hpp,include
2486,DEPENDENCY,mutex,mutex,include
2488,DEPENDENCY,memory,memory,include
2584,DEPENDENCY,log4cxx/filter/andfilter.hpp,log4cxx/filter/andfilter.hpp,include
2586,DEPENDENCY,log4cxx/spi/loggingevent.hpp,log4cxx/spi/loggingevent.hpp,include
2588,DEPENDENCY,log4cxx/helpers/stringhelper.hpp,log4cxx/helpers/stringhelper.hpp,include
2590,DEPENDENCY,log4cxx/helpers/optionconverter.hpp,log4cxx/helpers/optionconverter.hpp,include
2592,DEPENDENCY,log4cxx/private/filter_priv.hpp,log4cxx/private/filter_priv.hpp,include
