1622,FIELD_IDENTIFIER,2,,cout,cout,22,60,2
1628,FIELD_IDENTIFIER,2,,endl,endl,55,61,2
1642,FIELD_IDENTIFIER,2,,length,length,20,68,2
1648,FIELD_IDENTIFIER,2,,substr,substr,22,69,2
1653,FIELD_IDENTIFIER,2,,length,length,40,69,2
1662,FIELD_IDENTIFIER,2,,configureAndWatch,configureAndWatch,47,71,2
1670,FIELD_IDENTIFIER,2,,configureAndWatch,configureAndWatch,47,75,2
1703,FIELD_IDENTIFIER,2,,getLogger,getLogger,41,96,2
1724,FIELD_IDENTIFIER,2,,main,main,22,104,2
1772,FIELD_IDENTIFIER,2,,x,x,31,36,2
1786,FIELD_IDENTIFIER,2,,configure,configure,21,63,2
1793,FIELD_IDENTIFIER,2,,getRootLogger,getRootLogger,28,64,2
1803,FIELD_IDENTIFIER,2,,fg,fg,37,68,2
1808,FIELD_IDENTIFIER,2,,red,red,52,68,2
1835,FIELD_IDENTIFIER,2,,setprecision,setprecision,15,76,2
1842,FIELD_IDENTIFIER,2,,setbase,setbase,15,78,2
1883,FIELD_IDENTIFIER,2,,configure,configure,28,31,2
1890,FIELD_IDENTIFIER,2,,getRootLogger,getRootLogger,40,32,2
1946,FIELD_IDENTIFIER,2,,configure,configure,36,34,2
1953,FIELD_IDENTIFIER,2,,getRootLogger,getRootLogger,48,35,2
1957,FIELD_IDENTIFIER,2,,push,push,22,37,2
1965,FIELD_IDENTIFIER,2,,getDebug,getDebug,65,39,2
1976,FIELD_IDENTIFIER,2,,setLevel,setLevel,17,41,2
1980,FIELD_IDENTIFIER,2,,getInfo,getInfo,43,41,2
1993,FIELD_IDENTIFIER,2,,getWarn,getWarn,37,43,2
2003,FIELD_IDENTIFIER,2,,getError,getError,37,44,2
2013,FIELD_IDENTIFIER,2,,getFatal,getFatal,37,45,2
2019,FIELD_IDENTIFIER,2,,pop,pop,22,48,2
2068,FIELD_IDENTIFIER,2,,exists,exists,6,40,2
2078,FIELD_IDENTIFIER,2,,configure,configure,36,43,2
2082,FIELD_IDENTIFIER,2,,toStdString,toStdString,46,43,2
2096,FIELD_IDENTIFIER,2,,exists,exists,6,48,2
2104,FIELD_IDENTIFIER,2,,configure,configure,36,51,2
2108,FIELD_IDENTIFIER,2,,toStdString,toStdString,46,51,2
2121,FIELD_IDENTIFIER,2,,exists,exists,5,56,2
2126,FIELD_IDENTIFIER,2,,addPath,addPath,3,65,2
2146,FIELD_IDENTIFIER,2,,NotConfigured,NotConfigured,83,72,2
2155,FIELD_IDENTIFIER,2,,endsWith,endsWith,5,75,2
2167,FIELD_IDENTIFIER,2,,configure,configure,44,76,2
2171,FIELD_IDENTIFIER,2,,toStdString,toStdString,54,76,2
2181,FIELD_IDENTIFIER,2,,endsWith,endsWith,11,78,2
2191,FIELD_IDENTIFIER,2,,configure,configure,44,79,2
2195,FIELD_IDENTIFIER,2,,toStdString,toStdString,54,79,2
2205,FIELD_IDENTIFIER,2,,Configured,Configured,52,82,2
2212,FIELD_IDENTIFIER,2,,make_unique<QFileSystemWatcher>,make_unique<QFileSystemWatcher>,18,83,2
2222,FIELD_IDENTIFIER,2,,addPath,addPath,3,86,2
2228,FIELD_IDENTIFIER,2,,dir,dir,20,86,2
2229,FIELD_IDENTIFIER,2,,absolutePath,absolutePath,20,86,2
2233,FIELD_IDENTIFIER,2,,addPath,addPath,3,87,2
2238,FIELD_IDENTIFIER,2,,connect,connect,12,89,2
2242,FIELD_IDENTIFIER,2,,get,get,20,89,2
2246,FIELD_IDENTIFIER,2,,directoryChanged,directoryChanged,56,89,2
2255,FIELD_IDENTIFIER,2,,connect,connect,13,92,2
2259,FIELD_IDENTIFIER,2,,get,get,21,92,2
2263,FIELD_IDENTIFIER,2,,fileChanged,fileChanged,57,92,2
2271,FIELD_IDENTIFIER,2,,connect,connect,13,95,2
2275,FIELD_IDENTIFIER,2,,get,get,21,95,2
2279,FIELD_IDENTIFIER,2,,fileChanged,fileChanged,57,95,2
2319,FIELD_IDENTIFIER,2,,exists,exists,8,113,2
2335,FIELD_IDENTIFIER,2,,Configured,Configured,63,116,2
2375,FIELD_IDENTIFIER,2,,getLogger,getLogger,55,26,2
2378,FIELD_IDENTIFIER,2,,category,category,66,26,2
2383,FIELD_IDENTIFIER,2,,file,file,42,27,2
2391,FIELD_IDENTIFIER,2,,calcShortFileName,calcShortFileName,43,28,2
2394,FIELD_IDENTIFIER,2,,file,file,61,28,2
2397,FIELD_IDENTIFIER,2,,function,function,12,29,2
2400,FIELD_IDENTIFIER,2,,line,line,12,30,2
2407,FIELD_IDENTIFIER,2,,QtDebugMsg,QtDebugMsg,19,34,2
2411,FIELD_IDENTIFIER,2,,debug,debug,4,35,2
2415,FIELD_IDENTIFIER,2,,toStdString,toStdString,21,35,2
2421,FIELD_IDENTIFIER,2,,QtWarningMsg,QtWarningMsg,19,38,2
2425,FIELD_IDENTIFIER,2,,warn,warn,4,39,2
2429,FIELD_IDENTIFIER,2,,toStdString,toStdString,20,39,2
2435,FIELD_IDENTIFIER,2,,QtInfoMsg,QtInfoMsg,19,43,2
2439,FIELD_IDENTIFIER,2,,info,info,4,44,2
2443,FIELD_IDENTIFIER,2,,toStdString,toStdString,20,44,2
2449,FIELD_IDENTIFIER,2,,QtCriticalMsg,QtCriticalMsg,19,48,2
2453,FIELD_IDENTIFIER,2,,error,error,4,49,2
2457,FIELD_IDENTIFIER,2,,toStdString,toStdString,21,49,2
2463,FIELD_IDENTIFIER,2,,QtFatalMsg,QtFatalMsg,19,52,2
2467,FIELD_IDENTIFIER,2,,fatal,fatal,4,53,2
2471,FIELD_IDENTIFIER,2,,toStdString,toStdString,21,53,2
2476,FIELD_IDENTIFIER,2,,abort,abort,9,54,2
2516,FIELD_IDENTIFIER,2,,unique_lock,unique_lock,7,46,2
2519,FIELD_IDENTIFIER,2,,mutex,mutex,24,46,2
2523,FIELD_IDENTIFIER,2,,mutex,mutex,36,46,2
2528,FIELD_IDENTIFIER,2,,interrupted,interrupted,7,48,2
2540,FIELD_IDENTIFIER,2,,complete,complete,3,59,2
