1550,LITERAL,2,,"""This message will be discarded""",28,,71,2,,char[31]
1587,LITERAL,2,,2,28,,45,2,,int
1592,LITERAL,2,,1,35,,47,2,,int
1598,LITERAL,2,,0,36,,51,2,,int
1599,LITERAL,2,,"""Wrong number of arguments.""",40,,51,2,,char[27]
1623,LITERAL,2,,"""Usage: """,30,,60,2,,char[8]
1625,LITERAL,2,,""" configFile""",33,,61,2,,char[12]
1630,LITERAL,1,,1,22,,62,1,,int
1643,LITERAL,2,,4,42,,68,2,,int
1654,LITERAL,2,,4,62,,69,2,,int
1655,LITERAL,2,,""".xml""",68,,69,2,,char[5]
1664,LITERAL,2,,3000,77,,71,3,,int
1672,LITERAL,2,,3000,77,,75,3,,int
1680,LITERAL,2,,0,25,,81,2,,int
1682,LITERAL,-1,,true,23,,82,1,,bool
1687,LITERAL,1,,"""MSG """,42,,84,1,,char[5]
1693,LITERAL,1,,1000000,43,,87,1,,int
1704,LITERAL,1,,"""DelayedLoop""",51,,96,2,,char[12]
1769,LITERAL,2,,"""[MyStruct x:""",13,,36,2,,char[13]
1773,LITERAL,2,,"""]""",45,,36,2,,char[2]
1782,LITERAL,2,,"""""",20,,60,2,,char[1]
1796,LITERAL,2,,"""This is a {} mesage""",32,,66,2,,char[20]
1797,LITERAL,3,,"""test""",55,,66,3,,char[5]
1809,LITERAL,3,,"""Messages can be colored""",58,,68,3,,char[24]
1812,LITERAL,2,,"""We can also align text to the {:<10} or {:>10}""",32,,70,2,,char[47]
1813,LITERAL,3,,"""left""",82,,70,3,,char[5]
1814,LITERAL,4,,"""right""",90,,70,4,,char[6]
1819,LITERAL,1,,42,17,,72,1,,int
1822,LITERAL,2,,"""This custom type {} can also be logged, since it implements operator<<""",32,,73,2,,char[71]
1831,LITERAL,1,,"""Numbers can be formatted with excessive operator<<: """,28,,75,1,,char[53]
1836,LITERAL,1,,3,28,,76,2,,int
1837,LITERAL,2,,22.456,34,,76,2,,double
1838,LITERAL,2,,""" And as hex: """,10,,77,2,,char[14]
1843,LITERAL,1,,16,24,,78,2,,int
1844,LITERAL,2,,123,32,,78,2,,int
1847,LITERAL,2,,"""Numbers can be formatted with a format string {:.1f} and as hex: {:x}""",32,,79,2,,char[70]
1848,LITERAL,3,,22.456,105,,79,3,,double
