,id,label,node_type,weight,fan_in,fan_out,sscc,con_cf,con_df,con_zc,con_rf,con_val,McCabe,LOC,n1,n2,N1,N2,H,V,AFO,AFP,VRI,DRI,VMulD,VPlusD,dc,cc,bc,pg,er,gc,gcd,iFit,ggc,ggcd,cr
1321,99944,filter_chain_SubSource (99944),Method,6,1,2,4,0,1,0,0,1,3,11.0,4,7,8,13,27.651484454403228,72.64806399138324,0.1492323177621234,0.0031038560171299237,0.11266140603338481,0.0009312952942392258,1.1136976223649053,0.11359270132762404,0.0011574074074074073,0.0006430041152263373,5.037816881163509e-06,0.00021734356648678055,1.1922954983371974e-05,767.0833333333333,68.0,6.878032114115633e-15,760.856781586907,65.89193848927417,0.00015575533785275745
1322,211062,spu_PutSubpicture (211062),Method,71,2,47,24,7,20,0,0,30,13,81.0,9,9,68,64,57.05865002596162,550.4301001903852,0.2754011919138616,0.021778703937139626,0.6976330884685216,0.012870669617530701,1.7194827630819882,0.7105037580860523,0.007716049382716049,0.0010502400548696846,3.7858077104507053e-05,0.00048048774430506445,3.720534567166766e-05,15777.777777777777,378.33333333333337,3.401407580158926e-13,15335.52786603933,364.3117311164026,0.008933945577832083
1323,99990,filter_chain_SubFilter (99990),Method,5,1,1,4,0,0,0,0,1,4,13.0,5,5,9,12,23.21928094887362,69.7604899926346,0.02204579465117079,0.002480427774119436,0.001033958222289837,0.001090033041093408,1.0021251183120086,0.002123991263383245,0.0007716049382716049,0.000949667616334283,7.44504957807415e-08,0.00022661433390075878,2.6199274254418815e-05,22.0,52.5,2.0274385386511865e-14,22.0,51.51339113987899,0.0002914538433135651
1324,100035,filter_chain_MouseFilter (100035),Method,8,2,1,7,0,0,0,0,1,4,24.0,6,12,23,27,58.529325012980806,208.4962500721156,0.03306869197675619,0.0050077486632402425,0.0006863276915727394,0.0006829179909735056,1.0013697143880746,0.001369245682546245,0.0007716049382716049,0.0006172839506172839,5.95603966245932e-07,0.00030312816040680026,9.173862416885258e-05,12.0,22.166666666666664,3.7075547730477286e-15,12.0,20.03702550802742,0.00047398376917111334
1325,100118,filter_chain_MouseEvent (100118),Method,8,0,1,7,0,0,0,0,1,4,19.0,5,9,16,18,40.13896548741762,129.45006734995854,0.03306869197675619,0.0009371917415057662,0.0015509373334347556,0.0,1.0015509373334348,0.0015509373334347556,0.00038580246913580245,0.0,0.0,0.00021323888238211858,0.0,11.0,0.0,0.0,11.0,0.0,7.560976996128095e-06
1326,100217,fingerprinter_Create (100217),Method,6,0,3,3,0,3,0,0,2,3,23.0,6,4,9,16,23.509775004326936,83.04820237218405,0.11564285221414909,0.002811575224517298,0.10968946325061249,0.0,1.1096894632506125,0.10968946325061249,0.0011574074074074073,0.0,0.0,0.00021323888238211858,0.0,925.5833333333334,0.0,0.0,920.4930212122707,0.0,0.0001020731894477293
1327,100271,fingerprinter_Destroy (100271),Method,3,0,2,1,0,2,0,0,0,1,5.0,1,1,1,3,0.0,4.0,0.07205157574785749,0.0018743834830115323,0.05912888850434814,0.0,1.0591288885043482,0.05912888850434814,0.0007716049382716049,0.0,0.0,0.00021323888238211858,0.0,535.8333333333334,0.0,0.0,532.2801630144037,0.0,2.520325665376032e-05
1328,100406,LookupVideo (100406),Method,2,2,1,1,0,1,0,0,0,1,6.0,2,4,6,8,10.0,36.18947501009619,0.04041729019381311,0.012036349763799522,0.0023646034933339512,0.0028294772612810107,1.0052007713464313,0.005194080754614962,0.0007716049382716049,0.00595396518555873,3.2346967785880248e-06,0.0007874819152212943,0.00018854386998972498,24.0,27.38888888888889,7.443709738013277e-14,24.0,26.96306980821734,0.0012722816138913465
1329,100311,Lookup (100311),Method,9,12,0,9,0,0,0,0,0,6,9.0,7,9,26,33,48.18080946738404,236.0,0.03306869197675619,0.05850475086268682,0.0,0.20832326345056196,1.2083232634505618,0.20832326345056196,0.004629629629629629,0.024949901592413667,0.0,0.00294247186914874,0.0008527731267927228,0.0,2528.3333333333335,4.150976220482746e-12,0.0,2455.5199233545695,0.007066276491529581
1330,100428,LookupAudio (100428),Method,2,2,1,1,0,1,0,0,0,1,6.0,2,4,6,8,10.0,36.18947501009619,0.04041729019381311,0.012036349763799522,0.0023646034933339512,0.0028294772612810107,1.0052007713464313,0.005194080754614962,0.0007716049382716049,0.00595396518555873,3.2346967785880248e-06,0.0007874819152212943,0.00018854386998972498,24.0,27.38888888888889,7.443709738013277e-14,24.0,26.96306980821734,0.0012722816138913465
1331,100450,LookupSpu (100450),Method,2,2,1,1,0,1,0,0,0,1,6.0,2,4,6,8,10.0,36.18947501009619,0.04041729019381311,0.012036349763799522,0.0023646034933339512,0.0028294772612810107,1.0052007713464313,0.005194080754614962,0.0007716049382716049,0.00595396518555873,3.2346967785880248e-06,0.0007874819152212943,0.00018854386998972498,24.0,27.38888888888889,7.443709738013277e-14,24.0,26.96306980821734,0.0012722816138913465
1332,100472,LookupCat (100472),Method,10,2,6,4,0,6,0,0,3,4,20.0,2,7,5,22,21.651484454403228,85.58797503894243,0.07716028127909777,0.03586576334291519,0.00617186667459146,0.020951706555086658,1.027252884369141,0.02712357322967812,0.0019290123456790122,0.006889329805996472,5.422548681264749e-05,0.002027542059512393,0.0005362650541637023,75.0,161.38888888888886,4.1596008576798737e-13,75.0,155.65954307824126,0.004303604087891884
1333,100544,vlc_fourcc_GetCodecFromString (100544),Method,3,0,1,2,0,1,0,0,0,2,8.0,4,2,7,7,10.0,36.18947501009619,0.09553177682174009,0.0009371917415057662,0.00436958927186154,0.0,1.0043695892718616,0.00436958927186154,0.00038580246913580245,0.0,0.0,0.00021323888238211858,0.0,8.916666666666668,0.0,0.0,8.916666666666668,0.0,6.30081416344008e-06
1334,101974,vlc_fourcc_GetYUVFallback (101974),Method,4,0,3,1,0,1,0,0,2,1,4.0,0,3,0,3,4.754887502163468,4.754887502163468,0.0216135241678145,0.002811575224517298,0.00024060553376377853,0.0,1.0002406055337638,0.00024060553376377853,0.0011574074074074073,0.0,0.0,0.00021323888238211858,0.0,15.0,0.0,0.0,15.0,0.0,6.42683044670888e-05
