,id,label,node_type,weight,fan_in,fan_out,sscc,con_cf,con_df,con_zc,con_rf,con_val,McCabe,LOC,n1,n2,N1,N2,H,V,AFO,AFP,VRI,DRI,VMulD,VPlusD,dc,cc,bc,pg,er,cr,gc,ggc,gcd,ggcd,iFit
0,24577,ngx_log_error (24577),Method,3,216,1,2,0,1,0,0,0,2,11.0,2,5,2,10,13.60964047443681,33.68825906469125,0.22077989815049198,0.8953503955427249,0.35235399126237227,24.45652096992266,34.426227737329185,24.808874961185033,0.0689862027594481,0.07985629764803343,0.001175545203084233,0.01763637257514032,0.005414750045235441,0.39361193921380516,6069.444444444444,5854.255983822886,161712.36111111112,153768.5463116502,5.202455792704641e-09
1,24332,ngx_log_error_core (24332),Method,28,2,11,17,1,7,0,0,9,15,110.0,18,23,68,89,179.1005750152729,841.1356647250392,0.21263086842423715,0.797536101060191,0.6931178166111258,6.33316233647084,12.415907803980451,7.0262801530819665,0.005998800239952009,0.05031922558295967,0.001110012091219211,0.015840209101600656,0.004634137774398552,0.33745702483159556,1974.4444444444441,1812.091266509691,5010.277777777778,4520.076757487543,2.5308340893391446e-09
2,61449,ngx_sprintf (61449),Method,2,28,1,1,0,1,0,0,1,1,11.0,3,4,3,8,12.754887502163468,30.880904142633646,0.2960814133872592,0.15295986932084507,0.34990327635684193,0.9208362842033742,2.592943193391237,1.270739560560216,0.013197360527894421,0.04299340884646158,5.995199519519866e-05,0.0018304824209113598,0.0008167957348958979,0.03183752096121236,1573.0,1544.8446662376411,9029.166666666666,8699.687948086159,2.2933873156424226e-10
3,61526,ngx_vslprintf (61526),Method,106,8,10,96,0,6,0,0,10,56,318.0,19,39,163,188,286.84130929105584,2056.1513292897776,0.2906487269030893,0.5889132361361127,0.6892646016584983,4.890822861295826,9.951158534227668,5.5800874629543245,0.008398320335932814,0.05249033526628007,0.00047822711225204795,0.010682118243750987,0.0033806623540464415,0.15471094254702328,3220.0,3130.015582075677,6921.444444444443,6553.652129885314,1.8545445332113817e-09
4,8213,ngx_conf_deprecated (8213),Method,4,0,3,1,0,1,0,0,2,1,12.0,2,5,3,7,13.60964047443681,28.07354922057604,0.08691381247653211,0.010088921156370924,0.08217597344244323,0.0,1.0821759734424432,0.08217597344244323,0.0017996400719856027,0.0,0.0,0.000431900729831809,0.0,0.00013705441144325778,268.5833333333333,265.74012906112546,0.0,0.0,0.0
5,6981,ngx_conf_log_error (6981),Method,9,49,5,4,0,5,0,0,2,4,31.0,6,11,22,37,53.5635228093372,241.16030763377,0.25204547054685006,0.13900925594098854,0.7440324339888499,0.5821815741649223,2.7593759818031596,1.326214008153772,0.015596880623875223,0.014325493110333157,0.00022396481087936075,0.001789036677680955,0.0008248172427773554,0.02636056006775746,5995.888888888889,5873.859478141996,6581.611111111111,6265.610885475281,5.121602698944178e-11
6,8384,old_name (8384),Member,1,1,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.0027163432420849467,0.006389650065701585,0.0,0.0005553488476010487,1.0005553488476011,0.0005553488476010487,0.0005998800239952009,0.0005998800239952009,0.0,0.0005613635659199408,1.896014156905705e-05,5.724037183806649e-05,0.0,0.0,3.0,3.0,7.779966757110153e-17
7,8385,new_name (8385),Member,1,1,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.0027163432420849467,0.006389650065701585,0.0,0.0005553488476010487,1.0005553488476011,0.0005553488476010487,0.0005998800239952009,0.0005998800239952009,0.0,0.0005613635659199408,1.896014156905705e-05,5.724037183806649e-05,0.0,0.0,3.0,3.0,7.779966757110153e-17
8,405519,ngx_write_channel (405519),Method,7,0,2,5,1,1,0,0,1,4,80.0,8,15,28,28,82.60335893412778,253.31946953919274,0.07911589196520773,0.006725947437580616,0.10058064308603704,0.0,1.100580643086037,0.10058064308603704,0.0011997600479904018,0.0,0.0,0.000431900729831809,0.0,0.00010211897323223131,250.55555555555554,248.5928648882641,0.0,0.0,0.0
9,405947,fd (405947),Member,1,2,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.0027163432420849467,0.012408614456835757,0.0,0.0026469665468477933,1.0026469665468478,0.0026469665468477933,0.0011997600479904018,0.0011997600479904018,0.0,0.0007650647400957032,6.320047189685684e-05,0.000212568704807092,0.0,0.0,10.0,10.0,8.101034518981872e-16
10,151572,ngx_http_headers_filter (151572),Method,38,0,13,25,10,2,0,0,13,19,80.0,10,21,58,67,125.4579468272276,619.2745387983593,0.11406316117141087,0.020177842312741848,0.11342555568810306,0.0,1.113425555688103,0.11342555568810306,0.0035992801439712055,0.0,0.0,0.000431900729831809,0.0,0.0027088401320549773,717.5,701.2362370391864,0.0,0.0,0.0
11,151553,ngx_http_headers_filter_module (151553),Local,1,2,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.0027163432420849467,0.008683678566733546,0.0,0.0018124098895688002,1.0018124098895689,0.0018124098895688002,0.0011997600479904018,0.0011997600479904018,0.0,0.0004665782752125586,3.79202831381141e-05,0.0002563723696409175,0.0,0.0,28.0,27.43865510995792,1.2462385192101948e-14
12,151369,expires (151369),Member,1,2,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.0027163432420849467,0.006221501379762071,0.0,0.0007096441146079562,1.000709644114608,0.0007096441146079562,0.0005998800239952009,0.0005998800239952009,0.0,0.0004930359579845379,8.848066065559957e-05,0.00045899791126487123,0.0,0.0,6.0,6.0,1.2330377139752643e-14
13,151372,headers (151372),Member,1,4,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.0027163432420849467,0.008263306851884757,0.0,0.0009425389012553548,1.0009425389012554,0.0009425389012553548,0.0005998800239952009,0.0005998800239952009,0.0,0.0005367039780936301,0.0001516811325524564,0.0007868535621683506,0.0,0.0,6.0,6.0,2.11377893824331e-14
14,151373,trailers (151373),Member,1,7,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.0027163432420849467,0.019249020999933097,0.0,0.004017550368394095,1.0040175503683941,0.004017550368394095,0.0011997600479904018,0.0011997600479904018,0.0,0.0006589744343990879,0.00025912193477711304,0.001719898496542843,0.0,0.0,28.0,27.43865510995792,8.360509982122903e-14
15,151375,ngx_http_set_expires (151375),Method,1,1,0,1,0,0,0,0,0,1,144.0,0,0,0,0,0.0,0.0,0.0027163432420849467,0.0053026889173068605,0.0,0.0006048414606166266,1.0006048414606166,0.0006048414606166266,0.0005998800239952009,0.0005998800239952009,0.0,0.0004733853489354465,6.0040448302013995e-05,0.00031146286835830543,0.0,0.0,6.0,6.0,8.367041630546435e-15
16,302712,ngx_http_complex_value (302712),Method,26,19,21,5,4,2,0,0,20,5,48.0,9,11,52,41,66.58307281799108,401.93931282452473,0.07456529875031949,0.15226117615864396,0.22270864381693262,0.30620346423659783,1.5971062663057096,0.5289121080535304,0.016196760647870425,0.009124490891295425,7.057412047002364e-05,0.0015032889733873935,0.0011480591436035105,0.04667241059706995,9227.25,8455.901705672783,4529.25,3980.729048873506,6.923313778731371e-11
