2732,FIELD_IDENTIFIER,2,,i_physical_channels,i_physical_channels,15,157,2
2737,FIELD_IDENTIFIER,2,,i_physical_channels,i_physical_channels,19,158,2
2750,FIELD_IDENTIFIER,2,,i_physical_channels,i_physical_channels,19,161,2
2767,FIELD_IDENTIFIER,2,,i_chan_mode,i_chan_mode,14,165,2
2778,FIELD_IDENTIFIER,2,,i_chan_mode,i_chan_mode,19,167,2
2789,FIELD_IDENTIFIER,2,,i_physical_channels,i_physical_channels,19,169,2
2801,FIELD_IDENTIFIER,2,,i_physical_channels,i_physical_channels,21,171,2
2813,FIELD_IDENTIFIER,2,,i_physical_channels,i_physical_channels,21,173,2
3022,FIELD_IDENTIFIER,2,,i_format,i_format,23,233,2
3025,FIELD_IDENTIFIER,2,,i_rate,i_rate,43,233,2
3030,FIELD_IDENTIFIER,2,,i_frame_length,i_frame_length,14,235,2
3033,FIELD_IDENTIFIER,2,,i_bytes_per_frame,i_bytes_per_frame,40,235,2
3051,FIELD_IDENTIFIER,2,,i_format,i_format,23,248,2
3057,FIELD_IDENTIFIER,2,,i_format,i_format,53,248,2
3060,FIELD_IDENTIFIER,2,,i_rate,i_rate,14,249,2
3063,FIELD_IDENTIFIER,2,,i_rate,i_rate,33,249,2
4589,FIELD_IDENTIFIER,2,,psz_name,psz_name,22,534,2
4597,FIELD_IDENTIFIER,2,,i_order,i_order,20,535,2
4958,FIELD_IDENTIFIER,2,,i_bitspersample,i_bitspersample,9,48,2
4976,FIELD_IDENTIFIER,2,,i_channels,i_channels,38,53,2
4984,FIELD_IDENTIFIER,2,,i_channels,i_channels,49,54,2
4997,FIELD_IDENTIFIER,2,,i_rate,i_rate,9,61,2
5005,FIELD_IDENTIFIER,2,,i_rate,i_rate,18,64,2
5013,FIELD_IDENTIFIER,2,,i_rate,i_rate,9,67,2
5021,FIELD_IDENTIFIER,2,,i_rate,i_rate,18,70,2
5035,FIELD_IDENTIFIER,2,,volume,volume,5,80,2
5048,FIELD_IDENTIFIER,2,,restart,restart,20,82,2
5053,FIELD_IDENTIFIER,2,,input_format,input_format,5,83,2
5059,FIELD_IDENTIFIER,2,,mixer_format,mixer_format,5,84,2
5062,FIELD_IDENTIFIER,2,,input_format,input_format,27,84,2
5066,FIELD_IDENTIFIER,2,,request_vout,request_vout,5,85,2
5082,FIELD_IDENTIFIER,2,,initial_stereo_mode,initial_stereo_mode,43,88,2
5087,FIELD_IDENTIFIER,2,,filters_cfg,filters_cfg,5,90,2
5095,FIELD_IDENTIFIER,2,,mixer_format,mixer_format,34,91,2
5099,FIELD_IDENTIFIER,2,,filters_cfg,filters_cfg,56,91,2
5105,FIELD_IDENTIFIER,2,,volume,volume,28,93,2
5109,FIELD_IDENTIFIER,2,,mixer_format,mixer_format,43,93,2
5110,FIELD_IDENTIFIER,2,,i_format,i_format,43,93,2
5114,FIELD_IDENTIFIER,2,,filters,filters,5,96,2
5121,FIELD_IDENTIFIER,2,,mixer_format,mixer_format,58,96,2
5125,FIELD_IDENTIFIER,2,,request_vout,request_vout,40,97,2
5129,FIELD_IDENTIFIER,2,,filters_cfg,filters_cfg,40,98,2
5134,FIELD_IDENTIFIER,2,,filters,filters,9,99,2
5143,FIELD_IDENTIFIER,2,,volume,volume,29,103,2
5147,FIELD_IDENTIFIER,2,,volume,volume,9,104,2
5158,FIELD_IDENTIFIER,2,,sync,sync,5,110,2
5159,FIELD_IDENTIFIER,2,,end,end,5,110,2
5165,FIELD_IDENTIFIER,2,,sync,sync,5,111,2
5166,FIELD_IDENTIFIER,2,,resamp_type,resamp_type,5,111,2
5172,FIELD_IDENTIFIER,2,,sync,sync,5,112,2
5173,FIELD_IDENTIFIER,2,,discontinuity,discontinuity,5,112,2
5181,FIELD_IDENTIFIER,2,,buffers_lost,buffers_lost,19,115,2
5187,FIELD_IDENTIFIER,2,,buffers_played,buffers_played,19,116,2
5194,FIELD_IDENTIFIER,2,,vp,vp,20,117,2
5195,FIELD_IDENTIFIER,2,,update,update,20,117,2
5215,FIELD_IDENTIFIER,2,,mixer_format,mixer_format,9,129,2
5216,FIELD_IDENTIFIER,2,,i_format,i_format,9,129,2
5222,FIELD_IDENTIFIER,2,,filters,filters,35,131,2
5228,FIELD_IDENTIFIER,2,,volume,volume,25,134,2
5232,FIELD_IDENTIFIER,2,,volume,volume,5,135,2
5259,FIELD_IDENTIFIER,2,,restart,restart,37,144,2
5269,FIELD_IDENTIFIER,2,,mixer_format,mixer_format,13,147,2
