95,96,RECEIVER
105,106,RECEIVER
112,113,RECEIVER
123,124,RECEIVER
134,135,RECEIVER
154,155,RECEIVER
162,163,RECEIVER
207,208,RECEIVER
228,229,RECEIVER
246,247,RECEIVER
272,273,RECEIVER
291,292,RECEIVER
299,300,RECEIVER
362,363,RECEIVER
375,376,RECEIVER
385,386,RECEIVER
393,394,RECEIVER
402,403,RECEIVER
415,416,RECEIVER
425,426,RECEIVER
433,434,RECEIVER
442,443,RECEIVER
450,451,RECEIVER
464,465,RECEIVER
477,478,RECEIVER
486,487,RECEIVER
499,500,RECEIVER
614,615,RECEIVER
645,646,RECEIVER
679,680,RECEIVER
711,712,RECEIVER
719,720,RECEIVER
726,727,RECEIVER
744,745,RECEIVER
761,762,RECEIVER
777,778,RECEIVER
789,790,RECEIVER
799,800,RECEIVER
817,818,RECEIVER
825,826,RECEIVER
956,957,RECEIVER
964,965,RECEIVER
971,972,RECEIVER
988,989,RECEIVER
1005,1006,RECEIVER
1020,1021,RECEIVER
1042,1043,RECEIVER
1050,1051,RECEIVER
1057,1058,RECEIVER
1074,1075,RECEIVER
1091,1092,RECEIVER
1105,1106,RECEIVER
1130,1131,RECEIVER
1172,1173,RECEIVER
1185,1186,RECEIVER
1197,1198,RECEIVER
1210,1211,RECEIVER
1521,1522,RECEIVER
1565,1566,RECEIVER
6877,6878,RECEIVER
7124,7125,RECEIVER
8422,8423,RECEIVER
10019,10020,RECEIVER
10073,10074,RECEIVER
10097,10098,RECEIVER
10150,10151,RECEIVER
10181,10182,RECEIVER
10203,10204,RECEIVER
10224,10225,RECEIVER
10247,10248,RECEIVER
10270,10271,RECEIVER
11142,11143,RECEIVER
14107,14108,RECEIVER
14475,14476,RECEIVER
23886,23887,RECEIVER
29451,29452,RECEIVER
29505,29506,RECEIVER
29527,29528,RECEIVER
29547,29548,RECEIVER
30051,30052,RECEIVER
30498,30499,RECEIVER
30841,30842,RECEIVER
31115,31116,RECEIVER
31126,31127,RECEIVER
31306,31307,RECEIVER
31435,31436,RECEIVER
31447,31448,RECEIVER
31490,31491,RECEIVER
34790,34791,RECEIVER
34826,34827,RECEIVER
34868,34869,RECEIVER
34914,34915,RECEIVER
72366,72367,RECEIVER
73211,73212,RECEIVER
73223,73224,RECEIVER
73263,73264,RECEIVER
73660,73661,RECEIVER
73686,73687,RECEIVER
73871,73872,RECEIVER
73943,73944,RECEIVER
73997,73998,RECEIVER
74063,74064,RECEIVER
74229,74230,RECEIVER
74282,74283,RECEIVER
74307,74308,RECEIVER
74331,74332,RECEIVER
74355,74356,RECEIVER
74380,74381,RECEIVER
74558,74559,RECEIVER
80972,80973,RECEIVER
81386,81387,RECEIVER
81761,81762,RECEIVER
84035,84036,RECEIVER
84510,84511,RECEIVER
84695,84696,RECEIVER
84961,84962,RECEIVER
85236,85237,RECEIVER
85423,85424,RECEIVER
85928,85929,RECEIVER
91513,91514,RECEIVER
91615,91616,RECEIVER
91863,91864,RECEIVER
91891,91892,RECEIVER
91979,91980,RECEIVER
92082,92083,RECEIVER
92092,92093,RECEIVER
92326,92327,RECEIVER
92374,92375,RECEIVER
92408,92409,RECEIVER
92835,92836,RECEIVER
92850,92851,RECEIVER
92895,92896,RECEIVER
92906,92907,RECEIVER
92916,92917,RECEIVER
93030,93031,RECEIVER
93304,93305,RECEIVER
97394,97395,RECEIVER
97631,97632,RECEIVER
98646,98647,RECEIVER
98976,98977,RECEIVER
99791,99792,RECEIVER
99976,99977,RECEIVER
100020,100021,RECEIVER
100093,100094,RECEIVER
100167,100168,RECEIVER
109643,109644,RECEIVER
109658,109659,RECEIVER
110147,110148,RECEIVER
110682,110683,RECEIVER
110700,110701,RECEIVER
110721,110722,RECEIVER
111122,111123,RECEIVER
112240,112241,RECEIVER
112600,112601,RECEIVER
113563,113564,RECEIVER
113586,113587,RECEIVER
113604,113605,RECEIVER
118059,118060,RECEIVER
120410,120411,RECEIVER
121249,121250,RECEIVER
121295,121296,RECEIVER
121637,121638,RECEIVER
122489,122490,RECEIVER
122682,122683,RECEIVER
122838,122839,RECEIVER
123658,123659,RECEIVER
124220,124221,RECEIVER
124364,124365,RECEIVER
125584,125585,RECEIVER
125764,125765,RECEIVER
125797,125798,RECEIVER
128463,128464,RECEIVER
133793,133794,RECEIVER
133826,133827,RECEIVER
134197,134198,RECEIVER
134302,134303,RECEIVER
135006,135007,RECEIVER
135068,135069,RECEIVER
135102,135103,RECEIVER
135186,135187,RECEIVER
135292,135293,RECEIVER
135314,135315,RECEIVER
135441,135442,RECEIVER
135837,135838,RECEIVER
135864,135865,RECEIVER
135955,135956,RECEIVER
143192,143193,RECEIVER
143432,143433,RECEIVER
146135,146136,RECEIVER
146171,146172,RECEIVER
147712,147713,RECEIVER
148533,148534,RECEIVER
148887,148888,RECEIVER
152015,152016,RECEIVER
152046,152047,RECEIVER
152121,152122,RECEIVER
152274,152275,RECEIVER
152411,152412,RECEIVER
157645,157646,RECEIVER
157694,157695,RECEIVER
158130,158131,RECEIVER
158700,158701,RECEIVER
162616,162617,RECEIVER
173660,173661,RECEIVER
175486,175487,RECEIVER
175543,175544,RECEIVER
175650,175651,RECEIVER
175822,175823,RECEIVER
175839,175840,RECEIVER
175853,175854,RECEIVER
175877,175878,RECEIVER
176188,176189,RECEIVER
176246,176247,RECEIVER
176265,176266,RECEIVER
176381,176382,RECEIVER
186150,186151,RECEIVER
186171,186172,RECEIVER
207088,207089,RECEIVER
209167,209168,RECEIVER
209326,209327,RECEIVER
215827,215828,RECEIVER
215935,215936,RECEIVER
216377,216378,RECEIVER
216618,216619,RECEIVER
216817,216818,RECEIVER
216877,216878,RECEIVER
