3420,LOCAL,,const size_t frames,34,,335,frames,2,,size_t
3421,LOCAL,,int32_t[] tmp,34,,335,tmp,3,,int32_t[]
3422,LOCAL,,int32_t* buf,34,,335,buf,4,,int32_t*
3426,LOCAL,,const size_t frames,34,,335,frames,1,,size_t
3435,LOCAL,,int32_t* buf,34,,335,buf,3,,int32_t*
3441,LOCAL,,size_t i,34,,335,i,1,,size_t
3451,LOCAL,,int32_t[] tmp,34,,335,tmp,1,,int32_t[]
3454,LOCAL,,size_t j,34,,335,j,1,,size_t
3488,LOCAL,,const size_t frames,34,,336,frames,2,,size_t
3489,LOCAL,,double[] tmp,34,,336,tmp,3,,double[]
3490,LOCAL,,double* buf,34,,336,buf,4,,double*
3494,LOCAL,,const size_t frames,34,,336,frames,1,,size_t
3503,LOCAL,,double* buf,34,,336,buf,3,,double*
3509,LOCAL,,size_t i,34,,336,i,1,,size_t
3519,LOCAL,,double[] tmp,34,,336,tmp,1,,double[]
3522,LOCAL,,size_t j,34,,336,j,1,,size_t
3552,LOCAL,,unsigned size,14,,340,size,4,,unsigned
3567,LOCAL,,const size_t frames,18,,343,frames,7,,size_t
3575,LOCAL,,unsigned char* buf,19,,344,buf,9,,unsigned char*
3581,LOCAL,,size_t i,17,,346,i,1,,size_t
3591,LOCAL,,unsigned char[2048] tmp,23,,348,tmp,1,,unsigned char[2048]
3594,LOCAL,,size_t j,21,,350,j,1,,size_t
3643,LOCAL,,uint8_t* d,30,,383,d,1,,uint8_t*
3644,LOCAL,,const uint8_t* s,30,,383,s,2,,uint8_t*
3648,LOCAL,,uint8_t* d,30,,383,d,1,,uint8_t*
3654,LOCAL,,size_t i,30,,383,i,1,,size_t
3664,LOCAL,,const uint8_t* s,30,,383,s,1,,uint8_t*
3672,LOCAL,,size_t j,30,,383,j,1,,size_t
3673,LOCAL,,size_t k,30,,383,k,2,,size_t
3703,LOCAL,,int16_t* d,30,,384,d,1,,int16_t*
3704,LOCAL,,const int16_t* s,30,,384,s,2,,int16_t*
3708,LOCAL,,int16_t* d,30,,384,d,1,,int16_t*
3714,LOCAL,,size_t i,30,,384,i,1,,size_t
3724,LOCAL,,const int16_t* s,30,,384,s,1,,int16_t*
3732,LOCAL,,size_t j,30,,384,j,1,,size_t
3733,LOCAL,,size_t k,30,,384,k,2,,size_t
3763,LOCAL,,float* d,30,,385,d,1,,float*
3764,LOCAL,,const float* s,30,,385,s,2,,float*
3768,LOCAL,,float* d,30,,385,d,1,,float*
3774,LOCAL,,size_t i,30,,385,i,1,,size_t
3784,LOCAL,,const float* s,30,,385,s,1,,float*
3792,LOCAL,,size_t j,30,,385,j,1,,size_t
3793,LOCAL,,size_t k,30,,385,k,2,,size_t
3823,LOCAL,,int32_t* d,30,,386,d,1,,int32_t*
3824,LOCAL,,const int32_t* s,30,,386,s,2,,int32_t*
3828,LOCAL,,int32_t* d,30,,386,d,1,,int32_t*
3834,LOCAL,,size_t i,30,,386,i,1,,size_t
3844,LOCAL,,const int32_t* s,30,,386,s,1,,int32_t*
3852,LOCAL,,size_t j,30,,386,j,1,,size_t
3853,LOCAL,,size_t k,30,,386,k,2,,size_t
3883,LOCAL,,double* d,30,,387,d,1,,double*
3884,LOCAL,,const double* s,30,,387,s,2,,double*
3888,LOCAL,,double* d,30,,387,d,1,,double*
3894,LOCAL,,size_t i,30,,387,i,1,,size_t
3904,LOCAL,,const double* s,30,,387,s,1,,double*
3912,LOCAL,,size_t j,30,,387,j,1,,size_t
3913,LOCAL,,size_t k,30,,387,k,2,,size_t
3957,LOCAL,,uint8_t* d,30,,419,d,1,,uint8_t*
3958,LOCAL,,const uint8_t* s,30,,419,s,2,,uint8_t*
3962,LOCAL,,uint8_t* d,30,,419,d,1,,uint8_t*
3966,LOCAL,,const uint8_t* s,30,,419,s,3,,uint8_t*
3972,LOCAL,,size_t i,30,,419,i,1,,size_t
3984,LOCAL,,size_t j,30,,419,j,1,,size_t
3985,LOCAL,,size_t k,30,,419,k,2,,size_t
4015,LOCAL,,int16_t* d,30,,420,d,1,,int16_t*
4016,LOCAL,,const int16_t* s,30,,420,s,2,,int16_t*
4020,LOCAL,,int16_t* d,30,,420,d,1,,int16_t*
4024,LOCAL,,const int16_t* s,30,,420,s,3,,int16_t*
4030,LOCAL,,size_t i,30,,420,i,1,,size_t
4042,LOCAL,,size_t j,30,,420,j,1,,size_t
4043,LOCAL,,size_t k,30,,420,k,2,,size_t
4073,LOCAL,,float* d,30,,421,d,1,,float*
4074,LOCAL,,const float* s,30,,421,s,2,,float*
4078,LOCAL,,float* d,30,,421,d,1,,float*
4082,LOCAL,,const float* s,30,,421,s,3,,float*
4088,LOCAL,,size_t i,30,,421,i,1,,size_t
4100,LOCAL,,size_t j,30,,421,j,1,,size_t
4101,LOCAL,,size_t k,30,,421,k,2,,size_t
4131,LOCAL,,int32_t* d,30,,422,d,1,,int32_t*
4132,LOCAL,,const int32_t* s,30,,422,s,2,,int32_t*
4136,LOCAL,,int32_t* d,30,,422,d,1,,int32_t*
4140,LOCAL,,const int32_t* s,30,,422,s,3,,int32_t*
4146,LOCAL,,size_t i,30,,422,i,1,,size_t
4158,LOCAL,,size_t j,30,,422,j,1,,size_t
4159,LOCAL,,size_t k,30,,422,k,2,,size_t
4189,LOCAL,,double* d,30,,423,d,1,,double*
4190,LOCAL,,const double* s,30,,423,s,2,,double*
4194,LOCAL,,double* d,30,,423,d,1,,double*
4198,LOCAL,,const double* s,30,,423,s,3,,double*
4204,LOCAL,,size_t i,30,,423,i,1,,size_t
4216,LOCAL,,size_t j,30,,423,j,1,,size_t
4217,LOCAL,,size_t k,30,,423,k,2,,size_t
4259,LOCAL,,int i,14,,437,i,1,,int
4271,LOCAL,,int j,18,,439,j,1,,int
4398,LOCAL,,uint32_t i_layout,14,,472,i_layout,2,,uint32_t
4402,LOCAL,,int i_out,9,,473,i_out,4,,int
4406,LOCAL,,int[] pi_index,9,,474,pi_index,6,,int[]
4416,LOCAL,,int i,14,,481,i,1,,int
4441,LOCAL,,int j,18,,487,j,1,,int
4478,LOCAL,,int i,14,,500,i,1,,int
4479,LOCAL,,int j,21,,500,j,2,,int
4494,LOCAL,,int k,18,,502,k,1,,int
4534,LOCAL,,int i,14,,515,i,1,,int
4562,LOCAL,,static const[] filter,7,,529,filter,1,,static const[]
4571,LOCAL,,unsigned i,19,,532,i,1,,unsigned
4617,LOCAL,,char* psz_list,10,,550,psz_list,2,,char*
4633,LOCAL,,int i_count,9,,561,i_count,4,,int
4639,LOCAL,,char* p,15,,562,p,1,,char*
4658,LOCAL,,const char** ppsz_filter,16,,566,ppsz_filter,8,,char**
4674,LOCAL,,bool b_present,10,,572,b_present,11,,bool
4683,LOCAL,,char* p,15,,574,p,1,,char*
4692,LOCAL,,char* psz_end,14,,576,psz_end,1,,char*
4747,LOCAL,,int i_order,13,,597,i_order,1,,int
4752,LOCAL,,int i,13,,598,i,3,,int
4807,LOCAL,,int i,18,,611,i,1,,int
4830,LOCAL,,size_t i_length,12,,617,i_length,17,,size_t
4836,LOCAL,,int i,14,,618,i,1,,int
4853,LOCAL,,char* psz_new,10,,621,psz_new,20,,char*
4877,LOCAL,,int i,14,,631,i,1,,int
4961,LOCAL,,int i_map_channels,13,,52,i_map_channels,1,,int
5025,LOCAL,,aout_owner_t* owner,18,,74,owner,4,,aout_owner_t*
5204,LOCAL,,aout_owner_t* owner,18,,126,owner,1,,aout_owner_t*
5241,LOCAL,,aout_owner_t* owner,18,,141,owner,1,,aout_owner_t*
5246,LOCAL,,int status,9,,143,status,3,,int
5252,LOCAL,,int restart,9,,144,restart,5,,int
5423,LOCAL,,aout_owner_t* owner,18,,199,owner,1,,aout_owner_t*
5443,LOCAL,,aout_owner_t* owner,18,,210,owner,1,,aout_owner_t*
5467,LOCAL,,aout_owner_t* owner,18,,218,owner,1,,aout_owner_t*
5472,LOCAL,,const audio_sample_format_t* fmt,33,,219,fmt,3,,audio_sample_format_t*
5479,LOCAL,,size_t frames,12,,220,frames,5,,size_t
5489,LOCAL,,block_t* block,13,,222,block,7,,block_t*
5551,LOCAL,,aout_owner_t* owner,18,,239,owner,1,,aout_owner_t*
5556,LOCAL,,mtime_t drift,13,,240,drift,3,,mtime_t
5756,LOCAL,,int adj,9,,340,adj,13,,int
