5184,5185,RECEIVER
5636,5637,RECEIVER
6964,6965,RECEIVER
7188,7189,RECEIVER
7251,7252,RECEIVER
7344,7345,RECEIVER
7450,7451,RECEIVER
7530,7531,RECEIVER
7606,7607,RECEIVER
7682,7683,RECEIVER
7759,7760,RECEIVER
7836,7837,RECEIVER
10458,10459,RECEIVER
10492,10493,RECEIVER
10550,10551,RECEIVER
12497,12498,RECEIVER
12691,12692,RECEIVER
13226,13227,RECEIVER
13271,13272,RECEIVER
14971,14972,RECEIVER
15773,15774,RECEIVER
18259,18260,RECEIVER
18521,18522,RECEIVER
18564,18565,RECEIVER
18618,18619,RECEIVER
18642,18643,RECEIVER
20305,20306,RECEIVER
24416,24417,RECEIVER
24470,24471,RECEIVER
29526,29527,RECEIVER
30004,30005,RECEIVER
32978,32979,RECEIVER
33000,33001,RECEIVER
33450,33451,RECEIVER
34634,34635,RECEIVER
34874,34875,RECEIVER
35531,35532,RECEIVER
39303,39304,RECEIVER
42186,42187,RECEIVER
42901,42902,RECEIVER
43026,43027,RECEIVER
43324,43325,RECEIVER
43675,43676,RECEIVER
46210,46211,RECEIVER
46877,46878,RECEIVER
47044,47045,RECEIVER
47427,47428,RECEIVER
48130,48131,RECEIVER
48499,48500,RECEIVER
48998,48999,RECEIVER
49392,49393,RECEIVER
50913,50914,RECEIVER
51354,51355,RECEIVER
51421,51422,RECEIVER
51459,51460,RECEIVER
51689,51690,RECEIVER
67545,67546,RECEIVER
68523,68524,RECEIVER
68654,68655,RECEIVER
71625,71626,RECEIVER
71675,71676,RECEIVER
72740,72741,RECEIVER
72798,72799,RECEIVER
73923,73924,RECEIVER
74003,74004,RECEIVER
74011,74012,RECEIVER
74690,74691,RECEIVER
75905,75906,RECEIVER
80847,80848,RECEIVER
81557,81558,RECEIVER
81664,81665,RECEIVER
82987,82988,RECEIVER
83504,83505,RECEIVER
83930,83931,RECEIVER
87539,87540,RECEIVER
88096,88097,RECEIVER
88111,88112,RECEIVER
88825,88826,RECEIVER
89636,89637,RECEIVER
95324,95325,RECEIVER
95483,95484,RECEIVER
95627,95628,RECEIVER
95688,95689,RECEIVER
95902,95903,RECEIVER
95971,95972,RECEIVER
96328,96329,RECEIVER
97635,97636,RECEIVER
97886,97887,RECEIVER
98313,98314,RECEIVER
98678,98679,RECEIVER
101960,101961,RECEIVER
121857,121858,RECEIVER
138289,138290,RECEIVER
151728,151729,RECEIVER
164856,164857,RECEIVER
165024,165025,RECEIVER
165114,165115,RECEIVER
175614,175615,RECEIVER
195285,195286,RECEIVER
197495,197496,RECEIVER
198179,198180,RECEIVER
210843,210844,RECEIVER
214999,215000,RECEIVER
222819,222820,RECEIVER
237805,237806,RECEIVER
238061,238062,RECEIVER
238839,238840,RECEIVER
239118,239119,RECEIVER
239665,239666,RECEIVER
239897,239898,RECEIVER
240234,240235,RECEIVER
240361,240362,RECEIVER
240469,240470,RECEIVER
240952,240953,RECEIVER
249476,249477,RECEIVER
256794,256795,RECEIVER
256821,256822,RECEIVER
256848,256849,RECEIVER
256920,256921,RECEIVER
257024,257025,RECEIVER
257167,257168,RECEIVER
257918,257919,RECEIVER
257961,257962,RECEIVER
258102,258103,RECEIVER
264048,264049,RECEIVER
264090,264091,RECEIVER
264157,264158,RECEIVER
264645,264646,RECEIVER
265001,265002,RECEIVER
265022,265023,RECEIVER
268605,268606,RECEIVER
268639,268640,RECEIVER
269014,269015,RECEIVER
272983,272984,RECEIVER
276130,276131,RECEIVER
291519,291520,RECEIVER
291697,291698,RECEIVER
293429,293430,RECEIVER
293569,293570,RECEIVER
295510,295511,RECEIVER
295517,295518,RECEIVER
295592,295593,RECEIVER
295753,295754,RECEIVER
296245,296246,RECEIVER
297598,297599,RECEIVER
297932,297933,RECEIVER
298331,298332,RECEIVER
298523,298524,RECEIVER
298621,298622,RECEIVER
300022,300023,RECEIVER
300218,300219,RECEIVER
301093,301094,RECEIVER
306667,306668,RECEIVER
309894,309895,RECEIVER
310410,310411,RECEIVER
310701,310702,RECEIVER
310709,310710,RECEIVER
311488,311489,RECEIVER
312664,312665,RECEIVER
312747,312748,RECEIVER
313298,313299,RECEIVER
313499,313500,RECEIVER
313980,313981,RECEIVER
314045,314046,RECEIVER
314514,314515,RECEIVER
314974,314975,RECEIVER
315046,315047,RECEIVER
315689,315690,RECEIVER
315725,315726,RECEIVER
316862,316863,RECEIVER
317282,317283,RECEIVER
317301,317302,RECEIVER
318590,318591,RECEIVER
318708,318709,RECEIVER
318811,318812,RECEIVER
320155,320156,RECEIVER
320189,320190,RECEIVER
326874,326875,RECEIVER
327068,327069,RECEIVER
327197,327198,RECEIVER
333219,333220,RECEIVER
334439,334440,RECEIVER
334517,334518,RECEIVER
334815,334816,RECEIVER
334908,334909,RECEIVER
335382,335383,RECEIVER
335754,335755,RECEIVER
338638,338639,RECEIVER
339480,339481,RECEIVER
340360,340361,RECEIVER
340456,340457,RECEIVER
343827,343828,RECEIVER
344366,344367,RECEIVER
344557,344558,RECEIVER
345075,345076,RECEIVER
345789,345790,RECEIVER
346594,346595,RECEIVER
346787,346788,RECEIVER
379479,379480,RECEIVER
379506,379507,RECEIVER
379636,379637,RECEIVER
379688,379689,RECEIVER
381569,381570,RECEIVER
381792,381793,RECEIVER
383220,383221,RECEIVER
385741,385742,RECEIVER
387201,387202,RECEIVER
387351,387352,RECEIVER
387451,387452,RECEIVER
388235,388236,RECEIVER
388299,388300,RECEIVER
388354,388355,RECEIVER
388427,388428,RECEIVER
396444,396445,RECEIVER
396908,396909,RECEIVER
397994,397995,RECEIVER
398186,398187,RECEIVER
398271,398272,RECEIVER
399021,399022,RECEIVER
399098,399099,RECEIVER
402208,402209,RECEIVER
407751,407752,RECEIVER
410654,410655,RECEIVER
413920,413921,RECEIVER
413972,413973,RECEIVER
414954,414955,RECEIVER
415501,415502,RECEIVER
415635,415636,RECEIVER
416196,416197,RECEIVER
416275,416276,RECEIVER
424667,424668,RECEIVER
425181,425182,RECEIVER
425295,425296,RECEIVER
425550,425551,RECEIVER
425651,425652,RECEIVER
429900,429901,RECEIVER
429927,429928,RECEIVER
429999,430000,RECEIVER
430113,430114,RECEIVER
430165,430166,RECEIVER
430251,430252,RECEIVER
432358,432359,RECEIVER
432400,432401,RECEIVER
432508,432509,RECEIVER
432598,432599,RECEIVER
432637,432638,RECEIVER
432787,432788,RECEIVER
433264,433265,RECEIVER
440198,440199,RECEIVER
440354,440355,RECEIVER
440471,440472,RECEIVER
440582,440583,RECEIVER
442908,442909,RECEIVER
443076,443077,RECEIVER
443168,443169,RECEIVER
448632,448633,RECEIVER
449391,449392,RECEIVER
450664,450665,RECEIVER
451276,451277,RECEIVER
451532,451533,RECEIVER
456480,456481,RECEIVER
462526,462527,RECEIVER
464012,464013,RECEIVER
464263,464264,RECEIVER
465041,465042,RECEIVER
465315,465316,RECEIVER
471909,471910,RECEIVER
472105,472106,RECEIVER
472236,472237,RECEIVER
474960,474961,RECEIVER
