3529,LOCAL,,struct ngx_array_t,3,,22,ngx_array_t,2,,struct
3553,LOCAL,,ngx_inline ngx_int_t,19,,31,ngx_int_t,7,,ngx_inline
3616,LOCAL,,ngx_buf_t* b,15,,15,b,1,,ngx_buf_t*
3679,LOCAL,,ngx_chain_t* cl,18,,50,cl,1,,ngx_chain_t*
3718,LOCAL,,u_char* p,18,,71,p,1,,u_char*
3719,LOCAL,,ngx_int_t i,19,,72,i,2,,ngx_int_t
3720,LOCAL,,ngx_buf_t* b,18,,73,b,3,,ngx_buf_t*
3721,LOCAL,,ngx_chain_t* chain,18,,74,chain,4,,ngx_chain_t*
3722,LOCAL,,ngx_chain_t* cl,26,,74,cl,5,,ngx_chain_t*
3723,LOCAL,,ngx_chain_t** ll,31,,74,ll,6,,ngx_chain_t**
3839,LOCAL,,ngx_chain_t* cl,18,,129,cl,1,,ngx_chain_t*
3840,LOCAL,,ngx_chain_t** ll,23,,129,ll,2,,ngx_chain_t**
3915,LOCAL,,ngx_chain_t* cl,18,,159,cl,1,,ngx_chain_t*
3979,LOCAL,,ngx_chain_t* cl,18,,188,cl,1,,ngx_chain_t*
4102,LOCAL,,off_t total,19,,229,total,1,,off_t
4103,LOCAL,,off_t size,26,,229,size,2,,off_t
4104,LOCAL,,off_t aligned,32,,229,aligned,3,,off_t
4105,LOCAL,,off_t fprev,41,,229,fprev,4,,off_t
4106,LOCAL,,ngx_fd_t fd,19,,230,fd,5,,ngx_fd_t
4107,LOCAL,,ngx_chain_t* cl,18,,231,cl,6,,ngx_chain_t*
4251,LOCAL,,off_t size,12,,274,size,1,,off_t
4398,LOCAL,,struct ngx_bufs_t,3,,68,ngx_bufs_t,7,,struct
4450,LOCAL,,struct ngx_chain_writer_ctx_t,3,,122,ngx_chain_writer_ctx_t,14,,struct
4545,LOCAL,,static ngx_command_t[] ngx_conf_commands,23,,19,ngx_conf_commands,5,,static ngx_command_t[]
4560,LOCAL,,ngx_module_t ngx_conf_module,15,,32,ngx_conf_module,7,,ngx_module_t
4576,LOCAL,,static ngx_uint_t[] argument_number,19,,50,argument_number,9,,static ngx_uint_t[]
4591,LOCAL,,char* rv,22,,65,rv,1,,char*
4592,LOCAL,,ngx_str_t* param,22,,66,param,2,,ngx_str_t*
4593,LOCAL,,ngx_buf_t b,23,,67,b,3,,ngx_buf_t
4594,LOCAL,,ngx_conf_file_t conf_file,23,,68,conf_file,4,,ngx_conf_file_t
4712,LOCAL,,off_t size,23,,104,size,1,,off_t
4713,LOCAL,,u_char* p,22,,105,p,2,,u_char*
4714,LOCAL,,uint32_t hash,23,,106,hash,3,,uint32_t
4715,LOCAL,,ngx_buf_t* buf,22,,107,buf,4,,ngx_buf_t*
4716,LOCAL,,ngx_str_node_t* sn,22,,108,sn,5,,ngx_str_node_t*
4717,LOCAL,,ngx_conf_dump_t* cd,22,,109,cd,6,,ngx_conf_dump_t*
4887,LOCAL,,char* rv,22,,160,rv,1,,char*
4888,LOCAL,,ngx_fd_t fd,23,,161,fd,2,,ngx_fd_t
4889,LOCAL,,ngx_int_t rc,23,,162,rc,3,,ngx_int_t
4890,LOCAL,,ngx_buf_t buf,23,,163,buf,4,,ngx_buf_t
4891,LOCAL,,ngx_conf_file_t* prev,22,,164,prev,5,,ngx_conf_file_t*
4892,LOCAL,,ngx_conf_file_t conf_file,29,,164,conf_file,6,,ngx_conf_file_t
4893,LOCAL,,enum type,7,,169,type,7,,enum
5279,LOCAL,,char* rv,20,,358,rv,1,,char*
5280,LOCAL,,void* conf,20,,359,conf,2,,void*
5281,LOCAL,,void** confp,27,,359,confp,3,,void**
5282,LOCAL,,ngx_uint_t i,21,,360,i,4,,ngx_uint_t
5283,LOCAL,,ngx_uint_t found,24,,360,found,5,,ngx_uint_t
5284,LOCAL,,ngx_str_t* name,20,,361,name,6,,ngx_str_t*
5285,LOCAL,,ngx_command_t* cmd,20,,362,cmd,7,,ngx_command_t*
5707,LOCAL,,u_char* start,17,,505,start,1,,u_char*
5708,LOCAL,,u_char ch,25,,505,ch,2,,u_char
5709,LOCAL,,u_char* src,29,,505,src,3,,u_char*
5710,LOCAL,,u_char* dst,35,,505,dst,4,,u_char*
5711,LOCAL,,off_t file_size,18,,506,file_size,5,,off_t
5712,LOCAL,,size_t len,18,,507,len,6,,size_t
5713,LOCAL,,ssize_t n,18,,508,n,7,,ssize_t
5714,LOCAL,,ssize_t size,21,,508,size,8,,ssize_t
5715,LOCAL,,ngx_uint_t found,18,,509,found,9,,ngx_uint_t
5716,LOCAL,,ngx_uint_t need_space,25,,509,need_space,10,,ngx_uint_t
5717,LOCAL,,ngx_uint_t last_space,37,,509,last_space,11,,ngx_uint_t
5718,LOCAL,,ngx_uint_t sharp_comment,49,,509,sharp_comment,12,,ngx_uint_t
5719,LOCAL,,ngx_uint_t variable,64,,509,variable,13,,ngx_uint_t
5720,LOCAL,,ngx_uint_t quoted,18,,510,quoted,14,,ngx_uint_t
5721,LOCAL,,ngx_uint_t s_quoted,26,,510,s_quoted,15,,ngx_uint_t
5722,LOCAL,,ngx_uint_t d_quoted,36,,510,d_quoted,16,,ngx_uint_t
5723,LOCAL,,ngx_uint_t start_line,46,,510,start_line,17,,ngx_uint_t
5724,LOCAL,,ngx_str_t* word,17,,511,word,18,,ngx_str_t*
5725,LOCAL,,ngx_buf_t* b,17,,512,b,19,,ngx_buf_t*
5726,LOCAL,,ngx_buf_t* dump,21,,512,dump,20,,ngx_buf_t*
6525,LOCAL,,char* rv,17,,823,rv,1,,char*
6526,LOCAL,,ngx_int_t n,18,,824,n,2,,ngx_int_t
6527,LOCAL,,ngx_str_t* value,17,,825,value,3,,ngx_str_t*
6528,LOCAL,,ngx_str_t file,25,,825,file,4,,ngx_str_t
6529,LOCAL,,ngx_str_t name,31,,825,name,5,,ngx_str_t
6530,LOCAL,,ngx_glob_t gl,18,,826,gl,6,,ngx_glob_t
6706,LOCAL,,ngx_str_t* prefix,16,,889,prefix,1,,ngx_str_t*
6732,LOCAL,,ngx_str_t full,23,,900,full,1,,ngx_str_t
6733,LOCAL,,ngx_uint_t i,23,,901,i,2,,ngx_uint_t
6734,LOCAL,,ngx_list_part_t* part,22,,902,part,3,,ngx_list_part_t*
6735,LOCAL,,ngx_open_file_t* file,22,,903,file,4,,ngx_open_file_t*
6898,LOCAL,,ngx_uint_t i,23,,964,i,1,,ngx_uint_t
6899,LOCAL,,ngx_list_part_t* part,22,,965,part,2,,ngx_list_part_t*
6900,LOCAL,,ngx_open_file_t* file,22,,966,file,3,,ngx_open_file_t*
6979,LOCAL,,void ngx_cdecl,6,,991,ngx_cdecl,20,,void
6987,LOCAL,,u_char[] errstr,14,,995,errstr,1,,u_char[]
6988,LOCAL,,u_char* p,43,,995,p,2,,u_char*
6989,LOCAL,,u_char* last,47,,995,last,3,,u_char*
6990,LOCAL,,va_list args,14,,996,args,4,,va_list
7091,LOCAL,,char* p,11,,1028,p,1,,char*
7095,LOCAL,,ngx_str_t* value,22,,1030,value,3,,ngx_str_t*
7096,LOCAL,,ngx_flag_t* fp,22,,1031,fp,4,,ngx_flag_t*
7097,LOCAL,,ngx_conf_post_t* post,22,,1032,post,5,,ngx_conf_post_t*
7204,LOCAL,,char* p,11,,1068,p,1,,char*
7208,LOCAL,,ngx_str_t* field,22,,1070,field,3,,ngx_str_t*
7209,LOCAL,,ngx_str_t* value,30,,1070,value,4,,ngx_str_t*
7210,LOCAL,,ngx_conf_post_t* post,22,,1071,post,5,,ngx_conf_post_t*
7267,LOCAL,,char* p,11,,1095,p,1,,char*
7271,LOCAL,,ngx_str_t* value,23,,1097,value,3,,ngx_str_t*
7272,LOCAL,,ngx_str_t* s,31,,1097,s,4,,ngx_str_t*
7273,LOCAL,,ngx_array_t** a,22,,1098,a,5,,ngx_array_t**
7274,LOCAL,,ngx_conf_post_t* post,23,,1099,post,6,,ngx_conf_post_t*
7360,LOCAL,,char* p,11,,1131,p,1,,char*
7364,LOCAL,,ngx_str_t* value,23,,1133,value,3,,ngx_str_t*
7365,LOCAL,,ngx_array_t** a,22,,1134,a,4,,ngx_array_t**
7366,LOCAL,,ngx_keyval_t* kv,23,,1135,kv,5,,ngx_keyval_t*
7367,LOCAL,,ngx_conf_post_t* post,23,,1136,post,6,,ngx_conf_post_t*
7466,LOCAL,,char* p,11,,1169,p,1,,char*
7470,LOCAL,,ngx_int_t* np,22,,1171,np,3,,ngx_int_t*
7471,LOCAL,,ngx_str_t* value,22,,1172,value,4,,ngx_str_t*
7472,LOCAL,,ngx_conf_post_t* post,22,,1173,post,5,,ngx_conf_post_t*
7546,LOCAL,,char* p,11,,1200,p,1,,char*
7550,LOCAL,,size_t* sp,22,,1202,sp,3,,size_t*
7551,LOCAL,,ngx_str_t* value,22,,1203,value,4,,ngx_str_t*
7552,LOCAL,,ngx_conf_post_t* post,22,,1204,post,5,,ngx_conf_post_t*
7622,LOCAL,,char* p,11,,1231,p,1,,char*
7626,LOCAL,,off_t* op,22,,1233,op,3,,off_t*
7627,LOCAL,,ngx_str_t* value,22,,1234,value,4,,ngx_str_t*
7628,LOCAL,,ngx_conf_post_t* post,22,,1235,post,5,,ngx_conf_post_t*
7698,LOCAL,,char* p,11,,1262,p,1,,char*
7702,LOCAL,,ngx_msec_t* msp,22,,1264,msp,3,,ngx_msec_t*
7703,LOCAL,,ngx_str_t* value,22,,1265,value,4,,ngx_str_t*
7704,LOCAL,,ngx_conf_post_t* post,22,,1266,post,5,,ngx_conf_post_t*
7775,LOCAL,,char* p,11,,1293,p,1,,char*
7779,LOCAL,,time_t* sp,22,,1295,sp,3,,time_t*
7780,LOCAL,,ngx_str_t* value,22,,1296,value,4,,ngx_str_t*
7781,LOCAL,,ngx_conf_post_t* post,22,,1297,post,5,,ngx_conf_post_t*
7852,LOCAL,,char* p,10,,1324,p,1,,char*
7856,LOCAL,,ngx_str_t* value,17,,1326,value,3,,ngx_str_t*
7857,LOCAL,,ngx_bufs_t* bufs,17,,1327,bufs,4,,ngx_bufs_t*
