7447,RETURN,-1,,return e->version++;,5,152,1
7689,RETURN,-1,,return rv;,5,217,4
7719,RETURN,-1,,return NULL;,9,229,2
7734,RETURN,-1,,return NULL;,9,234,2
7747,RETURN,-1,,return NULL;,9,238,2
7778,RETURN,-1,,return NULL;,9,245,2
7796,RETURN,-1,,return NULL;,9,251,2
7848,RETURN,-1,,return NULL;,13,264,3
7888,RETURN,-1,,return NULL;,13,275,3
7905,RETURN,-1,,return NULL;,13,280,3
7928,RETURN,-1,,return NULL;,9,290,3
7958,RETURN,-1,,return NULL;,9,299,3
8416,RETURN,-1,,return (void *)e;,5,393,44
8611,RETURN,-1,,return tmp;,5,435,8
8962,RETURN,1,,return ret;,9,536,1
8995,RETURN,1,,return ret;,9,545,1
9046,RETURN,-1,,return ret;,9,557,5
9135,RETURN,-1,,return 0;,9,575,3
9142,RETURN,-1,,return ret;,5,580,18
9384,RETURN,-1,,return 0;,5,643,17
9519,RETURN,-1,,return ret;,5,681,10
9568,RETURN,-1,,return ret;,5,693,10
9726,RETURN,-1,,return io->len;,5,731,6
10098,RETURN,-1,,return NULL;,5,848,6
10662,RETURN,-1,,return NULL;,5,993,9
10892,RETURN,-1,,"return (uint32_t)XXH3_64bits(key, length);",5,12,1
10942,RETURN,-1,,return -1;,13,30,17
10945,RETURN,-1,,return 0;,5,32,2
11247,RETURN,-1,,return next_id;,5,116,5
11309,RETURN,1,,return 0;,9,130,1
11330,RETURN,-1,,return 1;,9,133,1
11332,RETURN,-1,,return 0;,5,135,9
11339,RETURN,-1,,return sizes[id];,5,140,1
11368,RETURN,-1,,return sizeof(item) + nkey + *nsuffix + nbytes;,5,172,2
11483,RETURN,-1,,return it;,5,213,6
11535,RETURN,-1,,return NULL;,13,236,1
11560,RETURN,1,,return NULL;,17,243,1
11611,RETURN,-1,,return nch;,5,259,19
11633,RETURN,1,,return 0;,9,269,1
11670,RETURN,1,,return 0;,9,279,1
11751,RETURN,-1,,return NULL;,9,313,4
12002,RETURN,-1,,return it;,5,360,30
12115,RETURN,1,,return false;,9,385,1
12138,RETURN,-1,,return slabs_clsid(ntotal) != 0;,5,393,7
12297,RETURN,-1,,return;,5,418,20
12436,RETURN,-1,,return;,5,445,15
12633,RETURN,-1,,return;,5,490,13
12774,RETURN,-1,,return 1;,5,518,14
13176,RETURN,-1,,"return do_item_link(new_it, hv);",5,598,3
13240,RETURN,-1,,return NULL;,9,626,2
13395,RETURN,-1,,return buffer;,5,657,24
15223,RETURN,-1,,return ret;,5,890,6
15235,RETURN,1,,return;,9,895,1
15439,RETURN,1,,return;,9,932,1
15532,RETURN,1,,return;,9,944,1
15967,RETURN,-1,,return it;,5,1057,10
16102,RETURN,-1,,return it;,5,1096,4
16131,RETURN,1,,return 0;,9,1110,1
16216,RETURN,-1,,return 0;,17,1130,2
16749,RETURN,-1,,return removed;,5,1276,24
16799,RETURN,-1,,return;,5,1291,9
16817,RETURN,-1,,return NULL;,9,1297,1
16839,RETURN,-1,,return NULL;,9,1303,2
