34,CALL,2,,maintenance_cond = PTHREAD_COND_INITIALIZER,23,STATIC_DISPATCH,,28,<operator>.assignment,<operator>.assignment,2,,,<empty>
38,CALL,4,,maintenance_lock = PTHREAD_MUTEX_INITIALIZER,24,STATIC_DISPATCH,,29,<operator>.assignment,<operator>.assignment,4,,,<empty>
42,CALL,6,,hashpower = HASHPOWER_DEFAULT,14,STATIC_DISPATCH,,32,<operator>.assignment,<operator>.assignment,6,,,<empty>
44,CALL,2,,HASHPOWER_DEFAULT,26,INLINED,,32,memcached.h:89:89:HASHPOWER_DEFAULT:0,HASHPOWER_DEFAULT,2,,,int
48,CALL,8,,** primary_hashtable = 0,12,STATIC_DISPATCH,,38,<operator>.assignment,<operator>.assignment,8,,,<empty>
52,CALL,10,,** old_hashtable = 0,12,STATIC_DISPATCH,,44,<operator>.assignment,<operator>.assignment,10,,,<empty>
56,CALL,12,,expanding = false,13,STATIC_DISPATCH,,47,<operator>.assignment,<operator>.assignment,12,,,<empty>
60,CALL,14,,expand_bucket = 0,17,STATIC_DISPATCH,,53,<operator>.assignment,<operator>.assignment,14,,,<empty>
69,CALL,-1,,hashpower = hashtable_init,9,STATIC_DISPATCH,,57,<operator>.assignment,<operator>.assignment,1,,,<empty>
72,CALL,-1,,"primary_hashtable = calloc(hashsize(hashpower), sizeof(void *))",5,STATIC_DISPATCH,,59,<operator>.assignment,<operator>.assignment,2,,,<empty>
74,CALL,2,,"calloc(hashsize(hashpower), sizeof(void *))",25,STATIC_DISPATCH,,59,calloc,calloc,2,,,<empty>
75,CALL,1,,hashsize(hashpower),32,INLINED,,59,assoc.c:34:34:hashsize:1,hashsize,1,,,ANY
78,CALL,1,,(uint64_t)1 << (hashpower),32,STATIC_DISPATCH,,59,<operator>.shiftLeft,<operator>.shiftLeft,1,,,<empty>
79,CALL,1,,(uint64_t)1,32,STATIC_DISPATCH,,59,<operator>.cast,<operator>.cast,1,,,<empty>
83,CALL,2,,sizeof(void *),53,STATIC_DISPATCH,,59,<operator>.sizeOf,<operator>.sizeOf,2,,,<empty>
86,CALL,-1,,! primary_hashtable,9,STATIC_DISPATCH,,60,<operator>.logicalNot,<operator>.logicalNot,1,,,<empty>
89,CALL,-1,,"fprintf(stderr, ""Failed to init hashtable.\n"")",9,STATIC_DISPATCH,,61,fprintf,fprintf,1,,,<empty>
92,CALL,-1,,exit(EXIT_FAILURE),9,STATIC_DISPATCH,,62,exit,exit,2,,,<empty>
94,CALL,-1,,STATS_LOCK(),5,STATIC_DISPATCH,,64,STATS_LOCK,STATS_LOCK,4,,,<empty>
95,CALL,-1,,stats_state.hash_power_level = hashpower,5,STATIC_DISPATCH,,65,<operator>.assignment,<operator>.assignment,5,,,<empty>
96,CALL,1,,stats_state.hash_power_level,5,STATIC_DISPATCH,,65,<operator>.fieldAccess,<operator>.fieldAccess,1,,,<empty>
100,CALL,-1,,stats_state.hash_bytes = hashsize(hashpower) * sizeof(void *),5,STATIC_DISPATCH,,66,<operator>.assignment,<operator>.assignment,6,,,<empty>
101,CALL,1,,stats_state.hash_bytes,5,STATIC_DISPATCH,,66,<operator>.fieldAccess,<operator>.fieldAccess,1,,,<empty>
104,CALL,2,,hashsize(hashpower) * sizeof(void *),30,STATIC_DISPATCH,,66,<operator>.multiplication,<operator>.multiplication,2,,,<empty>
105,CALL,1,,hashsize(hashpower),30,INLINED,,66,assoc.c:34:34:hashsize:1,hashsize,1,,,ANY
108,CALL,1,,(uint64_t)1 << (hashpower),30,STATIC_DISPATCH,,66,<operator>.shiftLeft,<operator>.shiftLeft,1,,,<empty>
109,CALL,1,,(uint64_t)1,30,STATIC_DISPATCH,,66,<operator>.cast,<operator>.cast,1,,,<empty>
113,CALL,2,,sizeof(void *),52,STATIC_DISPATCH,,66,<operator>.sizeOf,<operator>.sizeOf,2,,,<empty>
115,CALL,-1,,STATS_UNLOCK(),5,STATIC_DISPATCH,,67,STATS_UNLOCK,STATS_UNLOCK,7,,,<empty>
126,CALL,-1,,"expanding &&
        (oldbucket = (hv & hashmask(hashpower - 1))) >= expand_bucket",9,STATIC_DISPATCH,,74,<operator>.logicalAnd,<operator>.logicalAnd,1,,,<empty>
128,CALL,2,,(oldbucket = (hv & hashmask(hashpower - 1))) >= expand_bucket,9,STATIC_DISPATCH,,75,<operator>.greaterEqualsThan,<operator>.greaterEqualsThan,2,,,<empty>
129,CALL,1,,oldbucket = (hv & hashmask(hashpower - 1)),10,STATIC_DISPATCH,,75,<operator>.assignment,<operator>.assignment,1,,,<empty>
131,CALL,2,,hv & hashmask(hashpower - 1),23,STATIC_DISPATCH,,75,<operator>.and,<operator>.and,2,,,<empty>
133,CALL,2,,hashmask(hashpower - 1),28,INLINED,,75,assoc.c:35:35:hashmask:1,hashmask,2,,,ANY
