,source,target,weight,label
287,643,6835,2.5,2.5
288,25220,53768,9.5,9.5
289,56913,33492,2.5,2.5
290,22158,33598,2.5,2.5
291,14996,33403,2.5,2.5
292,14996,29885,5.5,5.5
293,14996,33492,2.5,2.5
294,43678,33492,2.5,2.5
295,43678,29735,2.5,2.5
296,43678,22975,1.0,1.0
297,13984,33492,2.5,2.5
298,44709,8810,4.0,4.0
299,47785,33598,7.5,7.5
300,47785,19639,2.5,2.5
301,28331,28477,4.0,4.0
302,65199,65184,3.0,3.0
303,11955,53862,2.5,2.5
304,65205,65184,3.0,3.0
305,35523,27537,5.0,5.0
306,23235,60086,2.5,2.5
307,24260,33598,5.0,5.0
308,65225,65184,3.0,3.0
309,716,33884,1.0,1.0
310,716,33965,2.5,2.5
311,49869,49613,2.5,2.5
312,49869,49900,3.0,3.0
313,16084,33403,2.5,2.5
314,16084,29885,5.5,5.5
315,16084,33492,2.5,2.5
316,13014,13049,3.0,3.0
317,65243,65184,13.0,13.0
318,65243,65183,7.0,7.0
319,65243,34040,2.5,2.5
320,45788,40729,2.5,2.5
321,45788,33403,5.0,5.0
322,45788,40522,5.5,5.5
323,49884,49900,3.0,3.0
324,1761,1760,3.0,3.0
325,55010,60086,2.5,2.5
326,55010,53862,2.5,2.5
327,20196,12848,5.0,5.0
328,46820,33403,2.5,2.5
329,49902,49613,2.5,2.5
330,49902,49933,3.0,3.0
331,39667,53554,9.5,9.5
332,39667,40584,2.5,2.5
333,6904,34032,1.0,1.0
334,49917,49933,3.0,3.0
335,38672,38425,2.5,2.5
336,38672,38626,1.0,1.0
337,61202,33598,2.5,2.5
338,54052,53554,9.5,9.5
339,50985,53554,9.5,9.5
340,50985,40616,5.5,5.5
341,45872,33403,7.5,7.5
342,45872,53554,19.0,19.0
343,45872,33598,2.5,2.5
344,45872,53725,5.5,5.5
345,18224,33403,2.5,2.5
346,37690,33598,7.5,7.5
347,37690,33492,2.5,2.5
348,16187,33403,2.5,2.5
349,16187,29885,5.5,5.5
350,16187,33492,2.5,2.5
351,8006,7535,9.0,9.0
352,9032,59869,5.5,5.5
353,48970,53554,9.5,9.5
354,50013,49613,2.5,2.5
355,50013,50044,3.0,3.0
356,43872,4258,4.0,4.0
357,46950,53862,2.5,2.5
358,38760,57322,4.0,4.0
359,35690,35685,3.0,3.0
360,50028,50044,3.0,3.0
361,36716,33598,2.5,2.5
362,35696,35685,19.0,19.0
363,35696,35684,6.0,6.0
364,32634,32646,3.0,3.0
365,32634,32647,3.0,3.0
366,32634,32648,3.0,3.0
367,50046,49613,2.5,2.5
368,50046,50077,3.0,3.0
369,56191,49453,5.5,5.5
370,28546,4248,1.0,1.0
371,20357,63707,7.0,7.0
372,39814,33492,2.5,2.5
373,33673,56033,2.5,2.5
374,49033,43074,2.5,2.5
375,49033,13064,4.0,4.0
376,50061,50077,3.0,3.0
377,38798,57322,4.0,4.0
378,51085,28408,1.0,1.0
379,65107,65076,3.0,3.0
380,65107,65077,3.0,3.0
381,19347,53554,19.0,19.0
382,32659,63695,1.0,1.0
383,26520,33492,2.5,2.5
384,26520,59869,5.0,5.0
385,9116,59869,5.5,5.5
386,28575,28477,1.0,1.0
387,47008,32659,4.0,4.0
388,47008,53862,2.5,2.5
389,35746,35685,19.0,19.0
390,35746,35684,6.0,6.0
391,36772,33598,12.5,12.5
392,36772,33492,2.5,2.5
393,50085,50096,3.0,3.0
394,34725,34135,9.5,9.5
395,39857,66932,3.0,3.0
396,38835,57442,2.5,2.5
397,50104,50121,6.0,6.0
398,29627,53862,2.5,2.5
399,14271,33403,5.0,5.0
400,14271,41278,2.5,2.5
401,14271,14267,3.0,3.0
402,32704,38853,9.5,9.5
403,38853,57322,4.0,4.0
404,52164,29885,5.5,5.5
405,17354,40773,2.5,2.5
406,17354,33598,2.5,2.5
407,47057,29885,5.5,5.5
408,47057,29896,5.5,5.5
409,56274,53554,9.5,9.5
410,56274,40584,2.5,2.5
411,56274,56174,3.0,3.0
412,33749,25380,4.0,4.0
413,16345,33403,2.5,2.5
414,16345,29885,5.5,5.5
415,16345,33492,2.5,2.5
416,61404,33492,2.5,2.5
417,17380,66250,2.5,2.5
418,11237,53691,5.5,5.5
419,11237,53725,9.5,9.5
420,11237,53554,9.5,9.5
421,11237,53768,9.5,9.5
422,25574,58937,1.0,1.0
423,18408,33403,2.5,2.5
424,41963,53554,9.5,9.5
425,41963,40448,5.5,5.5
426,32751,35266,2.5,2.5
427,44020,44624,15.0,15.0
428,44020,44591,171.0,171.0
429,44020,44634,6.0,6.0
430,44020,44625,21.0,21.0
431,44020,44626,6.0,6.0
432,44020,44629,6.0,6.0
433,44020,44627,12.0,12.0
434,44020,44628,6.0,6.0
435,44020,44630,21.0,21.0
436,44020,44631,6.0,6.0
437,44020,44632,12.0,12.0
438,44020,44633,6.0,6.0
439,38901,57322,4.0,4.0
440,24572,28523,1.0,1.0
441,25599,53554,9.5,9.5
